drunk speed braking turn accelerate lights time blinker
1 76.46 10.52 -7.4 21.12 Off Day 92
1 69.44 22.7 -26.2 17.12 On Day 96
1 67.88 24.38 -28.5 18.11 Off Night 81
1 76.97 26.61 -1 7.79 Off Night 17
0 64.96 3.3 -15.1 14.41 On Night 0
1 82.96 45.18 -2.4 8.3 Off Day 20
0 75.56 7.87 4.4 10.63 On Night 0
1 60.62 3.14 -0.7 7.84 Off Night 13
1 75.46 29.87 17.4 15.33 Off Day 56
1 84.35 14.85 29.3 12.27 Off Night 57
1 58.94 35.37 8.6 12.57 On Day 70
0 48.78 60.57 11.7 6.07 Off Day 0
1 64.84 65.26 23.2 6.2 Off Day 82
1 66.96 20.03 9.3 17.45 Off Day 21
1 68.33 5.47 -19.5 15.8 Off Day 90
0 77.73 42.13 1.6 5.05 Off Day 0
1 67.07 39.77 31.1 10.91 On Day 46
1 63.92 21.79 -19 9.47 Off Night 15
1 70.72 32.86 -2.6 15.01 On Night 74
1 62.34 38.91 5.9 13.81 Off Day 21
1 41.63 13.04 -13.2 21.81 Off Day 13
1 66.88 34.77 -19 23.32 Off Night 66
1 83.26 47.74 -12.7 13.76 Off Day 60
1 73.28 14.77 -2.8 23.09 On Day 92
1 78.85 14.52 4.3 23.12 Off Night 43
1 71.23 18.22 -4.4 14.37 Off Night 47
1 67.62 164.54 -0.9 5.34 On Night 41
1 68.48 36.27 -15 7.99 Off Night 98
1 62.79 87.03 19.9 17.14 On Night 81
0 73.27 19.48 -26.1 8.01 Off Day 6
0 60.05 6.15 -37.4 5.2 Off Day 0
1 62.18 19.34 -5.7 16.14 Off Day 33
1 53.87 23.14 10.2 24.23 On Night 14
1 78.56 99.36 -4.3 24.88 Off Night 88
1 59.16 11.14 -14.3 6.17 On Day 41
1 57.11 10.32 7.5 19.71 On Day 57
1 62.02 15.86 16.6 20.65 On Day 57
1 55.24 50.23 7.4 5.9 On Day 65
1 70.99 34.51 3.2 12.63 On Day 67
1 74.27 34.06 -6.3 24.71 On Day 34
1 71.37 26.26 -19.2 20.92 Off Night 75
1 86.25 21.12 -25.8 15.4 On Night 22
1 76.57 38.26 -24.8 8.67 On Night 94
1 63.64 35.47 -0.6 16.97 On Night 96
0 64.4 25.98 -1.4 11.93 On Night 0
0 55.69 34.18 23.3 10.06 On Night 0
0 64.09 41.75 -5.7 17.31 On Night 0
1 70.51 46.21 13.8 5.73 On Day 99
1 62.89 14.38 3.8 9.2 On Night 38
1 69.22 36.99 0.7 18.2 Off Day 72
0 81.4 64.58 4.1 16.43 On Night 0
1 74.26 18.7 -11.3 9.52 On Night 41
1 74.7 40.12 10.8 13.34 On Night 14
1 77.98 68.67 -8 9.88 Off Night 11
1 72.52 18.19 6.6 5.31 Off Day 46
1 64.27 28.08 3.1 22.85 On Day 69
1 76.7 8.94 -2.1 15.87 Off Day 66
0 69.69 8.47 0 22 On Night 0
1 68.62 11.17 2.6 17.11 On Day 98
1 74.89 3.88 -4.2 15.21 Off Day 18
1 73.4 69.38 3.2 14.28 On Night 44
1 73.52 11.56 -24.6 19.28 On Night 62
1 71.77 4.54 -16.3 11.24 Off Day 91
1 92.03 26.79 2.9 18.1 Off Night 68
1 54.36 15.89 3.2 17.85 On Day 41
0 82.03 11.38 15.5 17.44 On Day 0
0 69.41 35.11 -7.8 7.09 On Night 0
1 58.16 26.04 5 13.31 Off Night 84
1 72.32 11.83 -10.9 12.24 Off Night 38
1 71.72 24.51 17.8 21.24 On Night 61
1 72.03 88.09 16.5 10.78 Off Night 48
1 85.26 6.58 24.7 24.61 On Day 9
1 73.25 8.5 -7.6 6.02 Off Night 46
1 72.62 49.54 2.4 21.12 Off Night 96
1 70.07 15.5 -4.8 7.12 On Day 58
0 80.68 15.89 -1.4 13.55 On Day 0
1 61.47 27.25 -20 23.39 Off Day 14
1 64.89 33.04 -31.6 18.23 On Day 79
1 85.38 5.72 6.7 20.17 Off Day 9
1 53.64 57.82 -11.3 5.87 On Night 71
1 64.39 10.5 -13.4 13.25 On Night 23
1 65.45 97.15 6.4 13.02 Off Night 41
1 82.21 11.07 5 15.65 On Day 71
1 79.2 31.49 26.2 14.18 Off Night 68
1 63.08 30.89 12.2 14.12 Off Night 59
1 67.11 8.08 20.4 19.86 On Day 86
0 71.86 6.21 -0.1 5.47 Off Night 0
1 53.09 25.97 2 24.42 On Day 50
1 87.82 15.28 -12.1 18.01 Off Night 73
0 64.57 20.3 10 7.32 Off Day 0
1 79.08 53.74 -12.3 22.01 On Day 68
1 77.8 63.33 -4.5 16.49 On Night 51
1 69.78 25.45 8.4 18.02 On Night 87
1 70.06 24.17 -22.1 16.71 On Night 22
1 62.68 28.08 19.7 17.42 On Night 64
1 76.21 38.95 -13 20.5 On Day 34
1 88.12 20.31 6.6 20.69 On Night 91
1 71.98 30.03 -4.1 21.3 Off Night 45
1 72.97 22.76 26.2 12.68 Off Day 46
0 73.68 43.3 -2.2 5.4 On Night 0
1 70.3 34.52 -13.8 22.51 Off Night 7
1 71.08 40.02 6.7 7.97 Off Day 100
1 56.5 30.83 -11.1 18.9 Off Day 67
1 74.11 29.35 -12.1 11.31 Off Night 68
0 67.45 23.55 -4.6 21.11 Off Day 2
0 78.39 9.99 -5.5 20.39 On Day 0
1 72.66 15.09 -17.7 13.15 On Day 14
1 70 7.86 46.1 22.59 On Night 71
1 74.3 12.27 19.5 23.46 Off Day 68
1 75.62 34.34 -7.8 22.09 Off Night 89
1 77.25 43.56 8.1 11.74 Off Day 87
1 69.54 20.24 8 18.75 Off Night 89
1 75.55 54.93 -10 11.13 Off Night 67
0 72.39 10.29 -14.3 5.26 On Day 0
1 86.43 86.1 3 15.97 On Night 63
1 59.71 17.11 31.2 20.82 Off Day 43
1 70.32 22.81 3 15.08 On Night 46
1 62.5 7.22 -10.1 18.88 On Day 21
0 85.27 21.13 4.2 23.75 On Night 7
0 62.54 13.66 12 18.34 On Day 3
0 71.52 1.45 15.1 5.33 On Day 0
1 54.98 15.17 -11.1 20.95 Off Day 37
1 58.22 10.71 7.6 21.13 On Night 87
1 66.52 20.74 -8.4 23.14 On Night 12
1 77.64 21.21 8.3 16.23 On Night 61
1 64.66 25.36 -2 23.1 On Day 32
1 86.7 22.57 -9 15.79 Off Day 76
0 57.5 34.9 -30.5 24.18 Off Night 0
0 65.65 8.8 -19.9 19.16 On Night 0
1 68.42 25.48 -4.6 24.51 Off Day 73
1 60.94 30.23 -26.6 20.43 On Day 17
0 61.84 48.56 -7.5 23.86 Off Night 0
1 64.59 35.73 -5.6 14.67 Off Night 89
0 78.4 31.68 18.7 6.74 Off Night 0
1 66.01 7.03 -13.4 13.42 Off Night 11
1 75.11 11.98 -6.1 6.81 On Day 70
1 88.32 28.18 -5.4 5.28 On Night 89
