pitch speed curve angle
strike 104.307 5.6802 5.4
foul 104.6713 6.617 -0.1
strike 104.6447 3.6089 -0.7
foul 103.9696 7.5396 4.7
foul 110.2189 2.6996 -0.7
foul 110.9604 0.2369 0
foul 108.5295 6.8119 1.3
foul 111.5593 3.5888 -5.4
hit 108.2423 4.8834 0
hit 116.9986 1.7426 -0.9
strike 103.9569 1.2992 -1.8
foul 115.7548 14.0088 1.9
foul 111.3202 1.2368 1.9
foul 107.7225 5.1787 1.3
strike 96.2861 11.302 2.8
strike 103.9502 3.8579 0.7
strike 100.0806 2.9666 0.7
strike 106.2655 1.3121 0.6
strike 116.9657 11.5476 -2.8
strike 93.2165 1.7509 -0.8
strike 96.1802 9.9419 6.8
strike 107.055 8.7203 -0.8
foul 113.8249 6.178 -5.7
foul 113.8682 21.4739 -3.3
hit 105.4596 2.4037 3.4
foul 117.2233 3.3109 -5
hit 112.247 5.0861 5.2
strike 92.2428 4.6253 4.4
foul 111.2326 2.2649 2.2
hit 107.6362 15.2973 0.6
strike 108.7991 4.0889 3.7
strike 117.2805 8.7876 -4.3
strike 106.5833 8.2318 1.5
foul 114.2714 4.6253 -3
strike 91.079 5.8391 -3.6
strike 93.4684 18.7474 -0.6
foul 104.8269 5.3418 1.2
strike 95.7111 1.1426 -2.1
strike 100.1051 2.4128 5.1
strike 104.6345 0.876 1
strike 116.9616 4.0845 4.2
strike 103.4704 3.9502 0.8
strike 98.0307 12.4783 -1.7
strike 93.7581 5.7455 -2.1
strike 115.3726 3.8558 4.7
hit 109.1791 3.1559 -3.3
hit 114.5959 1.1405 5.7
foul 99.1649 8.3193 2.5
strike 105.6916 17.8454 3.9
hit 117.9255 1.8534 -3.3
foul 113.8496 2.5197 2.9
strike 111.6398 1.6648 2
hit 111.5973 0.772 -4.3
foul 116.4827 5.4282 -4
foul 110.084 4.3048 -0.3
hit 107.7183 7.1986 -1.3
strike 97.3195 0.4187 2.3
strike 96.0736 2.3292 -1.5
strike 104.1816 12.8902 0.3
strike 94.4472 5.3921 1.7
strike 99.9419 4.1615 -2.7
strike 90.4855 2.4276 -6.8
hit 113.2105 1.6498 1.6
strike 95.6017 2.8528 2.7
strike 93.0872 0.8392 -0.2
foul 105.4939 5.037 0.6
strike 95.1339 3.5185 3.6
strike 110.0163 3.1981 1.5
hit 116.2105 1.1928 -0.3
strike 101.3904 3.9957 -3.8
strike 102.6504 1.7354 0.5
foul 113.9997 16.3094 0.5
strike 109.5998 5.2865 5.3
strike 108.5705 5.1898 -2.1
strike 92.3017 2.166 2.9
strike 101.0752 0.7855 4
foul 111.2089 3.0061 8.8
strike 105.2957 4.6422 1.5
strike 105.8203 10.4592 2.8
strike 92.3994 4.3174 2.3
foul 94.7129 22.9412 2.9
strike 102.7648 1.2758 2.6
strike 92.0162 3.6148 1.2
hit 108.9233 4.0291 0.2
strike 102.5684 1.448 -6.2
strike 96.3233 4.7857 -2.9
foul 114.0342 1.5344 6.6
foul 106.9272 7.4313 -0.8
strike 101.5583 4.5353 0.6
foul 94.3666 21.8009 -0.3
strike 93.8319 1.1547 -3
hit 115.0129 6.6515 5.2
hit 113.4411 2.603 -5.6
strike 108.7152 0.3633 0.5
hit 104.7695 5.5966 -2.5
hit 114.2139 0.7336 -0.7
hit 109.6329 3.294 -2.7
strike 96.184 0.6391 -0.7
hit 116.3462 2.7395 2.8
strike 99.9109 1.8693 -2.7
strike 101.5681 16.5172 8.6
foul 113.9975 3.234 -3.8
foul 115.0202 4.9969 -1.1
strike 101.9713 5.7179 -2.3
foul 104.6803 11.0768 -3.9
strike 101.3034 1.4939 1.9
foul 104.4007 15.7888 -2.4
strike 93.4552 11.4167 -1.5
strike 95.7658 0.6475 2.1
strike 117.5885 3.4487 2.1
foul 106.412 3.901 3.1
foul 111.4286 5.4924 1.2
strike 98.6354 2.8995 1.8
foul 115.7793 10.7026 0
foul 113.3261 0.0633 0.8
strike 97.0959 4.6126 2.2
foul 112.4014 18.6709 -1.5
strike 98.6178 3.392 -4.7
strike 103.4863 5.0785 -3.2
foul 115.1677 11.3359 -1.5
strike 105.483 1.9437 3.8
hit 105.1999 6.3031 6.9
hit 108.151 2.0385 -5.3
foul 116.6729 4.8689 -3.2
strike 91.162 10.1479 -0.6
strike 90.0917 6.258 -3.1
strike 95.4394 3.9892 -3.4
hit 113.5432 2.7481 -3.5
strike 99.3026 2.228 3.1
hit 114.1841 5.5992 1
hit 103.0474 8.5399 -1.2
strike 106.2882 1.1123 -1
hit 112.3234 4.6938 -1
strike 91.1067 0.2367 -4.3
strike 106.8862 4.4282 -1.4
strike 94.496 8.2351 5.5
foul 114.0155 5.6142 0.9
strike 96.664 8.2738 -2.9
hit 115.3032 6.4346 -4.6
foul 115.2774 5.9849 -3.9
hit 114.5773 3.1625 2.6
strike 96.8239 5.7969 3.3
strike 117.2573 5.7074 -0.9
strike 101.9795 12.5261 -1.7
foul 103.8987 11.041 0.4
strike 92.1239 1.3231 1
hit 109.8965 2.2703 -6
strike 105.4412 1.7831 0.5
hit 109.462 6.3877 -2.9
foul 117.2253 2.4948 4.2
strike 106.7073 17.6128 1.1
hit 109.2219 1.1404 -0.6
strike 94.3519 3.2729 -2
foul 117.2981 4.6104 -1
strike 98.4371 4.4926 -0.6
strike 106.3568 1.9135 0.5
hit 105.6858 9.6877 1.1
strike 90.9822 2.328 -4
strike 100.8848 6.6407 2.8
foul 111.4482 6.9665 -1.4
hit 97.285 8.7793 6.5
strike 98.0633 15.0473 1.4
strike 102.7284 4.1689 1.1
hit 108.3834 2.795 4.4
hit 110.9447 2.3132 -0.6
strike 94.3177 2.9408 4.3
strike 92.5314 4.2167 -1.5
strike 107.9764 6.8211 -1.9
strike 116.6337 3.0461 2.7
strike 92.5786 4.348 0.6
strike 94.0108 5.3245 0.6
strike 97.0304 5.4491 3.9
hit 109.3439 1.4033 -2.2
strike 90.7864 4.726 -2.7
strike 92.7329 12.0421 1.1
strike 104.1203 2.6064 -2.2
strike 101.8158 0.929 -3.2
strike 96.4031 7.4272 3.3
hit 117.5409 2.5612 0
hit 108.2365 2.2266 0.7
strike 100.5175 0.3494 -0.8
hit 93.5679 14.9245 -2.4
strike 90.6986 10.5068 1.8
hit 116.7079 4.1268 -2.5
hit 115.9038 6.2955 1
strike 99.5973 3.9227 -2.9
strike 98.8656 3.4259 2.1
hit 109.7975 10.7598 -0.3
foul 113.8365 1.3434 2
strike 100.2372 5.5979 3.6
strike 97.3234 1.6872 2.8
strike 101.7447 2.5442 -3.2
strike 101.0347 2.9253 1.2
hit 100.7263 18.4774 -4.2
strike 104.5239 0.1151 -1.1
strike 108.7881 1.3142 4.4
strike 95.5353 11.2984 -2.4
strike 99.1086 2.2884 -1.1
strike 99.2128 3.1666 1.8
strike 99.9608 0.8002 1.9
hit 102.9068 6.745 -3.6
foul 110.2928 1.5542 0.9
strike 100.7815 13.6836 1
strike 93.7053 2.5157 3.1
strike 102.3087 1.9927 2.5
foul 105.1784 7.4362 -3
strike 98.7567 0.408 2.5
strike 92.584 8.9986 -0.4
strike 90.0623 11.8441 -5
strike 97.4296 5.0759 0.6
foul 117.8148 3.2164 3.6
foul 110.4428 8.711 0.7
strike 103.6019 4.6958 -6
strike 105.7685 6.7418 -1.3
hit 112.1293 4.0131 -3
strike 103.6497 2.5314 0.3
hit 108.9618 6.8885 -3.9
strike 112.4401 5.1123 2.2
hit 117.0378 2.2542 0.3
strike 114.3124 19.7903 -1.5
strike 96.5261 9.3022 -6.1
strike 93.6799 0.4505 -0.6
strike 103.8322 1.2221 2.8
hit 109.9543 0.5697 0.3
foul 114.147 8.2573 2.3
hit 112.8893 12.8933 1.5
hit 110.8132 2.8661 1
strike 97.4543 7.9707 0.5
hit 105.9069 3.4788 2.9
strike 112.2609 5.8197 3.5
hit 106.8311 3.4486 -5.9
strike 100.3008 4.6904 -2.8
strike 95.8686 4.417 6
foul 104.0625 8.9557 3.6
foul 108.8613 7.4004 -3.1
strike 116.9072 4.9533 1.9
strike 106.2485 7.1581 1.8
hit 100.9814 9.9903 -1.9
strike 114.9898 2.7954 3.6
strike 104.5357 1.366 -2.5
hit 93.802 16.5591 1.8
strike 98.1696 16.478 4.8
foul 96.4228 23.1757 -3
strike 103.384 5.6012 -0.5
hit 114.4069 10.9152 -3.4
strike 97.4712 1.2112 1.5
strike 103.0992 0.5769 -1.2
foul 117.5385 4.1525 0.5
strike 92.9372 3.4058 -1.9
foul 117.8504 26.1354 -0.2
strike 115.6505 3.513 3.1
foul 108.5511 6.3147 0.4
strike 98.5545 3.7513 -2.7
strike 95.6726 14.165 1.8
foul 99.6439 4.5989 6.7
strike 91.1737 3.4821 -2
foul 116.4807 9.5627 -0.1
strike 93.1904 2.2592 -0.1
foul 114.5293 2.0601 -0.5
strike 111.7733 3.2999 1.4
strike 100.0844 5.1399 1.9
hit 112.3287 5.5495 0.5
strike 117.7663 4.957 0.7
strike 91.6822 5.031 -0.2
foul 112.7625 7.1483 4.9
strike 91.0102 13.9284 -2.6
strike 95.6641 1.6542 -0.1
strike 93.2465 1.0093 -4.8
strike 92.8119 6.8741 2.3
hit 108.4434 10.7069 3.4
foul 102.0151 5.4745 -1.2
strike 106.6964 0.1135 1.4
hit 97.139 12.6243 2.8
strike 99.3604 7.5739 -2.5
strike 116.6882 0.7641 1.5
strike 93.0174 0.2526 1.6
hit 111.5619 8.8138 -2.6
strike 93.0588 9.1144 -5.2
hit 106.7947 1.7136 1.6
hit 116.2486 3.642 -4.3
foul 114.1305 2.0484 0.6
strike 105.612 7.7818 -2.6
hit 112.4823 17.1957 0.5
hit 113.5549 3.2926 -2.5
strike 103.8271 1.8321 -2.9
foul 109.8398 18.3258 0.8
strike 109.1745 2.6594 0.6
hit 114.9554 3.0299 1.4
strike 92.2263 4.4078 -1.3
hit 117.2367 2.6625 1.9
strike 94.942 4.0659 -3.3
strike 94.241 2.4638 -2.6
strike 92.9327 7.6076 -1
strike 92.6013 5.0377 -1.1
strike 94.5515 2.6963 -1.6
strike 92.6364 7.4503 2.3
foul 111.9884 4.0255 -1.4
foul 115.5732 8.9459 -7.2
foul 115.8705 4.5766 -2.2
strike 117.364 0.7793 3.4
strike 96.9896 2.8721 5.8
strike 106.1991 2.1751 0.1
hit 111.9063 4.3938 -0.5
strike 92.5804 3.3173 1.6
foul 113.8088 4.9263 -1.9
foul 110.9625 4.2334 -0.4
strike 93.3313 5.4301 -1.1
strike 116.3553 2.5622 0.6
strike 100.451 4.3358 0.7
foul 116.7287 0.8866 -0.6
hit 106.4224 13.6532 -5.5
strike 107.5212 0.3867 0.8
strike 100.5531 0.6508 -1.6
strike 92.0645 7.8819 3.3
hit 112.9897 13.1465 4.5
strike 93.6513 4.1156 -2
strike 98.3366 6.7367 2.4
foul 116.8222 5.6036 0.8
hit 105.7806 4.5596 -3.7
foul 110.9272 8.6298 2.1
hit 116.0121 3.4722 -2.5
hit 116.3276 1.4921 2.2
strike 93.0982 2.4944 2.2
foul 96.2474 18.5479 1.8
hit 117.0391 5.821 -2.5
hit 98.8816 15.9054 -2.6
strike 94.4247 1.1737 0.5
strike 114.4598 19.8103 -2.8
foul 108.3116 1.5922 1.5
strike 92.6087 9.9581 -4.6
strike 95.2428 8.9111 -1.1
hit 112.2662 21.9135 -3.9
strike 96.9158 5.3161 2.6
foul 111.2037 17.6918 3.5
strike 101.4008 7.6607 0.5
strike 91.2578 7.3495 -3.3
strike 97.3657 4.9407 -1
strike 96.869 3.2953 -0.7
strike 99.007 7.6188 -0.1
strike 91.5844 1.1978 1.5
strike 98.6043 2.8761 2.7
strike 96.3831 4.5304 1.1
strike 98.9494 2.6644 -1.3
hit 112.8044 4.3886 -5.3
hit 102.2731 10.8513 -0.8
strike 95.8526 3.3566 -4.1
strike 97.7427 2.9014 0
strike 107.6855 9.6065 2.9
strike 92.6374 7.3032 -1.9
hit 114.2037 9.1643 1.2
hit 116.4466 17.9644 3
strike 91.4376 3.204 -3.5
foul 100.2956 12.7016 1
strike 91.9975 3.3425 4.3
foul 117.9549 9.5136 -1.5
strike 90.52 5.3537 -1
foul 116.1563 11.4455 1.5
hit 105.688 7.0027 5.9
hit 111.7747 2.2256 -2.4
foul 112.3018 0.8741 0.2
hit 116.3929 6.0244 -0.8
strike 102.9035 4.9869 1.1
strike 93.9555 0.6756 -1.8
strike 102.0857 2.4847 -1.8
strike 90.1837 1.2987 -2.6
foul 117.4382 0.3531 -1.1
foul 106.4052 3.1102 4.8
foul 114.9172 10.2312 -5.4
hit 106.4596 1.8548 2.5
hit 115.6704 1.5157 -0.2
strike 96.7426 1.0748 -0.1
hit 102.0975 9.9011 4.9
foul 112.2882 1.661 0.4
strike 98.3809 1.8553 0.7
hit 116.7159 0.717 3.6
hit 109.7677 11.7025 -3.4
hit 111.9733 18.0163 -1.8
strike 96.0709 4.041 3.1
strike 108.3975 13.5585 -1.1
foul 111.9786 9.9579 3.8
strike 107.3962 2.747 5.1
hit 103.253 8.5824 -2.6
foul 107.4601 17.4884 3.2
strike 91.2373 6.917 -4.1
strike 94.2037 0.0462 -1.4
foul 110.8128 5.3377 -0.1
hit 103.5343 9.9013 -4.9
hit 111.4338 5.2397 -6.4
foul 116.2516 2.3766 1.5
hit 115.5926 14.8331 3.2
foul 117.887 3.7112 1.8
foul 108.508 10.998 -6.9
strike 103.42 12.7022 1.6
strike 97.8747 3.5257 -2.8
hit 116.1877 3.591 0.5
foul 117.9523 5.7278 -0.5
hit 109.221 5.796 -3.2
strike 105.1144 12.4551 0.8
hit 103.4838 5.4123 6.6
hit 101.6299 6.1332 4.7
strike 90.2922 4.6898 3.9
hit 107.9627 11.7852 2.8
hit 114.7731 4.0455 0.9
strike 105.0793 4.2564 -0.5
hit 110.1066 7.0342 -1.2
strike 92.9752 3.2883 0.8
strike 100.254 0.8869 1.9
strike 101.3554 1.4818 1.6
hit 108.6329 2.0744 -3.6
strike 95.4917 1.1352 -1.6
strike 115.8929 5.2456 0.7
hit 104.2842 12.9061 -0.5
strike 98.3371 8.2206 8
strike 91.8913 12.6479 -1.9
hit 112.5639 2.1757 0
hit 112.1492 2.9266 4.8
strike 96.2168 5.8874 1.1
strike 99.4844 4.5655 1.5
strike 94.4926 1.3059 -0.8
strike 102.9729 3.3739 4.1
strike 92.0969 1.9288 -2.2
hit 111.7326 8.0774 -3.1
foul 116.5602 2.8568 -3.8
strike 98.0684 0.9886 -0.8
strike 108.214 1.9259 5.1
foul 104.5565 9.7131 -0.5
strike 94.1091 7.8402 -2.3
hit 102.9808 19.4747 2.5
hit 108.4398 7.784 2.8
hit 110.7326 11.2822 -0.8
hit 101.9857 8.451 -2.3
foul 113.0286 17.9689 -2.5
strike 110.2629 3.2355 1.6
hit 103.1404 4.442 -0.8
hit 114.4951 3.7862 1.1
strike 101.6 1.3852 2.1
strike 101.2661 4.7746 1.1
strike 98.0437 1.0975 1.3
hit 111.2633 1.9784 -0.6
foul 106.9708 10.1538 1.4
strike 114.4795 5.593 4.9
foul 116.7471 6.4733 -1.6
strike 101.8526 0.7052 4.4
strike 102.8465 7.1617 -1.5
strike 92.1518 1.2595 2.3
strike 100.896 5.4176 1.1
hit 113.5964 0.9508 -2.9
strike 98.661 3.8254 -2.7
strike 97.1154 11.583 3.8
strike 95.4783 10.346 -2.7
foul 103.0757 3.9654 1.3
strike 91.2005 4.8383 -0.9
strike 99.8286 4.0092 -3.1
foul 117.0909 4.2367 2.6
foul 113.7363 1.1995 0.4
foul 116.826 2.534 -4.6
strike 95.9792 2.2203 1.2
hit 111.7079 4.8396 2.1
strike 117.1462 0.2171 1
hit 106.0773 3.8933 -2.6
strike 95.4261 1.279 2.2
strike 104.4812 4.0838 2.9
strike 103.9672 12.7732 2.6
strike 95.0149 3.0546 -0.9
foul 115.2166 0.5109 -3.1
strike 92.967 4.2302 3.9
hit 101.9523 11.2719 3.7
foul 115.9138 5.0754 -4.7
hit 116.5966 2.009 -1.3
strike 97.0627 6.2351 -1.5
strike 93.015 4.7415 -3.8
hit 110.2161 9.2261 1.2
strike 110.3584 11.1742 1.8
foul 105.976 4.858 -2.2
strike 98.2267 3.496 0.5
hit 109.8589 24.5301 5.9
strike 93.9454 6.915 2.2
strike 94.0193 9.1137 -0.6
hit 99.7505 15.0921 2.3
hit 103.0052 7.5301 -3.6
hit 101.2664 8.4395 -0.8
strike 101.9478 0.216 1.2
foul 115.6591 3.3608 -1.9
hit 109.4868 3.5813 2.2
hit 102.3624 7.0587 -3
strike 115.5616 3.1479 1.7
hit 111.5919 2.8987 -6.8
strike 102.2156 3.2966 1.7
foul 108.353 7.6631 -1.7
strike 102.8979 4.1562 -3.8
strike 106.9019 11.2075 -1.6
hit 106.2455 4.9087 -0.1
strike 99.2119 3.352 1.8
strike 96.0091 5.2983 3.4
strike 116.3055 1.3862 4.9
hit 115.1397 2.6254 -2.2
strike 98.9943 7.4634 -6
strike 100.0544 0.3658 -4.4
strike 92.8655 6.7763 -3.5
foul 113.0575 2.4293 -1.1
strike 111.6783 1.0186 0.6
hit 114.9268 1.8738 0.9
strike 100.2183 6.2718 -3.9
hit 115.2701 4.5271 -3.5
strike 104.1747 0.3861 2.6
strike 98.9717 1.0365 1.8
hit 110.0172 12.149 -3.7
strike 101.6079 5.8599 -3.2
strike 100.1955 1.1366 -0.9
strike 90.9149 0.6896 2.3
strike 111.3158 23.7559 -0.6
foul 110.2885 2.9701 1.4
hit 112.9172 2.4536 -2.8
foul 94.8075 18.8392 1.2
strike 91.9792 5.598 -0.9
strike 90.2539 8.8329 4.5
strike 101.6258 0.4686 -1.3
foul 94.4008 14.6393 -1.4
strike 93.1447 3.1482 -4.1
strike 117.2646 4.5662 -1.5
strike 95.3697 2.8913 -3.1
strike 91.4228 7.0802 2.6
strike 90.005 11.694 -9.2
hit 110.7688 2.2343 2.6
strike 108.6049 6.1876 1.3
hit 104.3869 7.8205 1.8
foul 110.4867 2.7451 -2.7
strike 106.339 1.2183 -3.8
strike 97.6393 1.513 2.1
foul 109.6467 1.1289 2.3
strike 97.7814 7.8961 -2.2
strike 101.0545 1.5737 1.2
strike 114.0216 14.2981 2.3
strike 95.2219 3.303 5.6
strike 102.9422 10.1384 0.1
hit 117.3168 9.0508 -3.6
hit 108.8661 4.1821 -3.1
foul 115.5049 4.607 0.8
strike 103.6551 1.5237 1.8
strike 96.6116 8.1504 -2.6
strike 99.105 4.4774 -2.4
strike 114.4519 2.3318 -1.4
hit 117.092 11.4248 0.8
strike 113.3876 22.1563 5.7
strike 92.3517 3.1894 -3.2
strike 106.7396 4.6206 -4
strike 100.8345 2.5629 6.3
strike 99.0282 5.5055 1.8
foul 105.3521 5.5079 2.7
strike 107.7769 16.2479 -3.3
hit 106.1888 6.601 -1.2
strike 94.0628 1.335 2.8
strike 101.5087 12.6179 1.1
strike 106.7576 1.5538 2.2
strike 95.1561 8.0925 -4.2
hit 95.4119 13.1676 1.2
strike 105.1321 1.1415 5.6
strike 94.3287 6.4867 4.1
foul 105.535 4.9828 0.1
foul 109.2939 8.0252 2.4
strike 105.8618 13.5032 -0.7
strike 102.9071 2.028 0.3
strike 91.576 3.9174 2.9
strike 92.4267 0.5825 -8.6
strike 110.9793 9.234 -1
hit 107.5671 1.278 -0.5
strike 95.902 0.7503 0.8
strike 93.224 3.1291 4.5
strike 98.0312 10.603 -3.3
hit 104.2907 4.8492 0.2
strike 102.6453 5.0486 -6.5
strike 104.333 3.1201 -0.7
strike 97.4863 9.1833 -2.1
hit 115.8638 1.015 -2.1
hit 117.2409 3.723 -3.9
foul 112.0537 2.0681 1.4
strike 102.1742 3.8837 -1.5
strike 90.8395 10.0385 -1.1
strike 107.1116 9.8207 -0.2
hit 102.9003 7.0941 1.6
strike 94.6912 0.9553 -7.9
foul 109.5122 2.7997 -3.3
strike 102.1467 1.5053 -1.4
foul 113.9327 3.4184 -5.4
foul 116.2896 6.4262 0.9
hit 112.4619 8.6916 -1.7
foul 111.7426 9.7797 -8
hit 116.0775 1.9348 3.7
strike 106.8159 4.2088 -5
hit 98.7959 11.9572 1.2
foul 114.2524 8.1165 3.1
hit 110.4769 7.5427 2.6
strike 109.9313 4.0162 -0.8
strike 113.0828 5.071 2.8
strike 90.8546 10.6061 2.3
strike 95.7815 7.6266 -1.6
strike 104.0148 4.9706 -5
strike 96.4612 2.8538 -2.2
strike 94.3417 7.3201 -0.3
strike 97.8131 1.5754 -0.2
strike 102.8803 4.3206 0.5
strike 94.8951 4.2496 -0.6
strike 106.4442 0.9992 1.9
hit 117.5031 8.7907 0.9
hit 99.6452 13.6012 6.4
strike 90.38 2.5621 1.2
strike 91.7311 2.6791 1.3
foul 106.3857 9.1412 -0.5
strike 107.131 3.4513 -1.1
foul 113.7037 4.3257 -0.4
strike 92.3713 1.497 4.2
strike 92.8319 6.8428 3.8
strike 113.8095 9.158 -2.1
foul 113.576 23.951 -4
foul 113.7468 3.5352 1.4
hit 116.0879 11.5844 2.9
hit 106.2412 4.213 2.7
strike 101.2594 5.2047 2.6
strike 96.7384 2.7679 -0.5
strike 96.5252 9.6302 0.9
hit 109.7399 1.3328 -1
strike 107.2194 1.6059 0.1
strike 101.2571 3.1542 0.3
foul 96.249 11.0991 0.7
strike 99.4287 3.0713 -4.4
strike 92.8001 6.328 -2.7
strike 95.3843 1.8537 -1.1
foul 117.0542 1.9182 0.8
hit 109.1724 11.6757 -4.1
strike 96.3874 4.3499 -4.1
strike 99.4326 0.4091 -2.3
strike 91.1711 1.6266 0
strike 100.2677 9.9007 -1.3
strike 95.9171 10.136 -1.3
strike 97.2659 5.2735 0.8
strike 95.6102 6.8571 -3.2
hit 103.8505 11.2189 -3.3
hit 108.9545 8.4327 1.7
strike 95.3302 3.4303 -1.4
strike 95.0851 2.0882 1.8
strike 111.0884 28.5052 1.6
strike 92.3118 1.5864 -0.4
strike 93.8833 1.4147 -0.8
strike 94.4572 0.2776 -2.3
strike 90.7962 3.4025 0.4
strike 108.0073 2.813 -6.2
hit 109.043 3.9169 -2.1
hit 105.7988 15.7095 -4.8
hit 116.7062 1.4193 -2.2
foul 116.8402 7.7536 4.3
foul 110.4089 5.6308 -2.1
strike 99.5625 1.0916 0.7
foul 112.7623 16.7454 -1.7
strike 92.3425 1.7617 -2.7
strike 91.7857 1.9928 -0.7
foul 99.6882 7.5604 5
strike 112.5102 2.9143 9.2
hit 109.0461 2.8077 -2.2
hit 98.5384 28.2931 -1.2
foul 109.1329 6.719 -3.1
strike 100.3474 2.8547 0.1
foul 113.6973 2.7798 -0.9
strike 93.4955 2.1988 -3.5
strike 93.2994 10.7874 -0.2
foul 111.9746 20.3679 -3.4
strike 113.1593 8.8347 3.7
strike 111.3476 5.6732 2.2
foul 105.3442 4.9565 -0.3
strike 103.5989 2.4381 2
strike 105.9141 1.3342 -2
strike 93.9686 3.1073 -0.8
strike 100.1871 2.5161 0.5
hit 102.1389 8.8275 -2.4
strike 95.48 5.5561 -1.7
foul 97.2362 14.9995 -1.6
strike 113.0576 4.583 3.1
foul 111.5909 5.1393 1.8
foul 117.8685 7.4903 -3.5
hit 100.765 4.8228 -0.3
strike 95.4383 4.0618 -2.9
strike 93.8817 2.3166 11.3
strike 99.6487 7.2284 -2.5
strike 114.3056 5.4879 4.5
strike 97.5081 2.9655 -2.4
strike 106.79 0.1163 2.6
hit 97.6855 21.8213 -0.1
strike 100.8659 0.8002 -4.7
strike 92.0571 1.645 3
strike 94.0038 3.3955 -1.3
hit 114.6397 11.3109 -1.3
foul 108.8138 2.746 -0.9
foul 105.5922 6.3327 -1.6
strike 99.6734 2.2464 -3.1
foul 115.3871 1.8865 -2.7
hit 117.8532 13.9763 4.7
strike 110.05 3.2405 3.7
foul 95.3778 14.826 -3.6
foul 117.0172 11.7986 2.2
hit 101.6664 8.1744 -2.8
strike 92.9571 7.4584 0
strike 115.0911 1.924 3.2
strike 115.5152 11.7958 2.3
strike 92.6597 6.0413 -2.9
strike 99.2266 10.5264 -0.1
strike 107.1643 5.1599 1.9
foul 112.1083 7.6413 -0.3
strike 91.9777 4.5864 0.5
strike 117.2329 5.4887 2.9
hit 108.9476 3.7307 -0.7
hit 105.7752 6.2294 -2.5
hit 116.1268 2.6947 -3.7
hit 91.4715 16.7647 0.8
strike 90.7067 14.4471 0.6
strike 92.9666 17.1156 3.3
strike 104.6837 7.791 -0.3
strike 102.1103 9.3694 0.4
strike 94.8039 1.7708 0.4
strike 101.3946 6.1623 -1.3
hit 101.982 8.782 2.2
foul 96.3068 13.7499 -4.1
strike 104.8142 4.4543 -6.1
strike 114.3918 4.0087 -2.5
strike 95.6978 3.8446 5.8
strike 104.6352 1.7485 0.5
strike 104.3835 4.535 -1.9
hit 110.7177 6.8946 -3.6
foul 108.9389 8.9327 -2.8
foul 103.9518 9.1742 -1.5
strike 104.3108 3.7026 -3
hit 115.6108 3.7893 -1.5
foul 90.2592 12.6879 9.6
foul 115.104 1.0879 3.2
strike 93.8978 1.2656 -0.6
strike 102.8912 0.689 -1.4
strike 94.8797 5.7906 -4.1
hit 106.9733 2.6279 -6.5
strike 94.4149 10.1775 -4.3
strike 100.6445 2.7309 1.6
foul 113.5862 0.6101 -2.4
strike 103.619 3.4361 -1.4
hit 109.8479 7.8414 -2.7
foul 116.0024 3.757 -0.8
hit 112.3458 0.1717 1.3
foul 104.3253 6.3128 -3.1
strike 102.8609 5.5724 0.6
strike 104.9908 1.1898 -1.7
strike 109.4607 4.6084 3.3
strike 91.0818 12.1733 -4
hit 109.7292 2.6786 1.2
strike 96.7564 3.7956 -1.6
strike 103.0119 1.9343 -1.7
strike 96.1414 0.2604 1
strike 113.5148 5.6026 2.5
foul 112.7342 11.3915 -2
strike 93.1987 11.0823 -1.4
foul 111.9821 3.5458 -2.9
hit 110.9038 5.255 -3.3
strike 110.8779 7.0795 -0.4
strike 92.9125 5.3622 -1.8
foul 94.4319 15.515 -2.3
foul 113.535 5.3851 -0.6
strike 106.7617 2.8461 2.3
hit 107.4092 4.0481 2.4
strike 105.7674 1.5669 0.6
hit 106.5864 7.0746 0.9
strike 96.8503 2.6826 -0.3
strike 102.4561 2.858 1.6
strike 102.2355 2.6413 -1
strike 100.9313 0.6933 -2.1
strike 103.2634 2.5276 -2.2
strike 98.1437 1.7019 -3.6
foul 102.8234 10.3063 2.2
hit 108.6373 4.5202 -1.7
strike 100.1593 2.2951 4.4
strike 101.4422 2.7294 -3.5
strike 99.9723 5.0232 1.1
strike 104.9378 0.7479 -1.8
strike 106.6917 6.377 1.2
foul 113.2448 3.5751 -3.7
strike 92.1986 1.7746 2.9
hit 117.7724 2.2837 1.1
foul 104.2915 7.1753 5.1
strike 91.8367 31.6439 1.2
hit 105.6139 8.2348 1.5
strike 91.5152 9.9506 0.8
strike 96.6828 2.9442 -2.8
strike 92.1895 11.1646 -3
strike 92.7324 9.9744 -4.2
strike 101.9081 7.4274 -4.7
strike 97.8737 1.3386 3
hit 111.5486 15.1955 -3.9
strike 98.5643 1.3272 -3.8
strike 91.4251 12.6405 5.2
foul 108.8437 3.6188 -1.4
foul 112.4792 5.566 -0.4
foul 109.8875 7.4411 -6.6
foul 112.0825 6.0813 -2.7
strike 98.3729 2.2902 2.1
strike 102.039 2.5171 -0.1
foul 105.9204 9.0422 -3.2
foul 107.5201 2.6773 -0.7
foul 103.9555 13.0154 4.8
hit 115.5461 2.9415 1.1
hit 110.9641 1.1862 -4.1
strike 100.8592 0.8832 2.6
foul 113.843 2.5089 4.4
hit 111.446 2.3496 -2.8
strike 113.5206 3.7457 6.4
strike 102.2927 0.6365 -2.5
strike 100.9808 3.9942 -0.6
strike 117.9278 13.2938 0.6
hit 111.9379 7.391 -1.7
foul 117.4176 1.1206 -2.3
hit 106.6215 4.533 -1.3
strike 103.7057 7.9813 -0.4
