type age height falls density
Sugarberry 20 81.43 0 14.6
Oak 4 88.65 0 29.4
Sugarberry 53 79.39 0 25.5
Sugarberry 35 43.01 1 27.8
Elm 46 51.27 0 15
Dogwood 27 29.19 0 23.2
Sugarberry 2 81.89 0 16.3
Dogwood 35 28.9 0 25.4
Sycamore 13 104.97 1 22.7
Oak 34 35.41 1 13.2
Sycamore 33 70.44 0 19.1
Oak 44 104.51 0 28.3
Elm 13 73.48 0 10.8
Oak 11 85.51 1 19.7
Sycamore 5 28.85 0 20.5
Sycamore 47 60.1 0 24.9
Dogwood 7 22.53 0 25.4
Sycamore 11 61.17 1 27.6
Sugarberry 36 31.91 0 25.5
Elm 93 88.98 1 17
Sycamore 31 78.37 1 22.5
Oak 5 56.3 0 12.2
Oak 11 46.21 0 22
Sycamore 12 103.66 1 20
Oak 18 113.07 0 15.4
Sugarberry 21 101.32 0 15.1
Dogwood 26 103.19 0 10.6
Dogwood 28 64.27 1 20.8
Dogwood 47 57.54 1 25.5
Elm 15 70.1 0 25.7
Sugarberry 17 116.6 1 20.7
Oak 25 54.19 0 15.6
Elm 42 51.81 1 15.4
Sycamore 61 62.55 1 27.6
Sugarberry 25 51.1 1 16.7
Sycamore 99 24.52 1 21.9
Sycamore 13 44.12 1 16.6
Sycamore 17 30.2 0 19.8
Sugarberry 59 62.11 0 12.5
Sycamore 0 108.71 1 20.5
Sugarberry 29 52.08 1 13.4
Sugarberry 44 87.02 1 16.7
Sugarberry 18 97.86 0 17.4
Elm 45 98.04 0 18.9
Oak 3 105.36 0 18.2
Elm 22 91.81 1 16.4
Sycamore 7 118.49 0 12.4
Sycamore 23 44.15 0 13.4
Oak 8 29.56 0 20.4
Dogwood 83 57.07 1 26.4
Elm 65 51.39 0 15.9
Sycamore 28 90.71 0 25.1
Oak 16 72.03 0 22.8
Dogwood 75 65.88 1 26
Oak 29 68.63 0 24.3
Sycamore 22 91.2 0 29.8
Sugarberry 43 56.93 0 28.1
Sycamore 7 59.02 0 17.6
Dogwood 26 115.4 1 29.5
Sycamore 10 57.25 1 20.8
Sugarberry 15 52.68 0 26.4
Oak 11 25.53 1 23.4
Oak 5 31.52 0 13.4
Elm 22 54.1 0 14.6
Elm 19 58.36 1 23.4
Oak 36 99.83 1 17.9
Sycamore 18 90.76 1 19.9
Sugarberry 21 113.28 1 29.8
Sugarberry 25 45.39 0 19.2
Sugarberry 18 27.67 0 15.7
Elm 34 50.54 0 28.5
Elm 36 50.71 0 16.4
Dogwood 35 71.22 0 17.1
Dogwood 15 114.73 0 10.6
Oak 38 110.54 1 27.7
Sycamore 1 115.8 0 19.3
Oak 34 114.34 0 22.1
Elm 37 116.79 0 16.7
Sycamore 59 117.93 1 23.4
Oak 13 88.97 0 12
Oak 30 30.66 0 28.3
Elm 23 36.97 0 20.2
Sycamore 54 86.68 1 14.5
Elm 62 119.11 1 24.6
Oak 34 44.4 0 29.9
Sycamore 85 59 1 13.9
Sugarberry 20 88.67 0 26.8
Oak 17 102.23 0 11.4
Oak 40 65.26 0 19.5
Sycamore 15 28.82 0 18.3
Sycamore 22 55.4 0 27.1
Sugarberry 26 83.17 0 23.6
Elm 54 52.56 1 20
Sycamore 54 81.98 1 18.2
Dogwood 3 89.63 0 21.5
Sycamore 20 23.72 1 28.1
Sycamore 14 66.82 0 23
Oak 18 103.02 0 26.5
Elm 64 64.64 0 26.5
Elm 6 24.32 1 19.6
Dogwood 2 38.41 1 25.2
Oak 64 110.5 0 27
Sugarberry 15 40.01 0 25.2
Dogwood 108 114.56 1 23.1
Elm 14 71.41 0 17.5
Oak 40 67.07 0 27.2
Dogwood 46 61.23 0 22.8
Oak 39 24.43 1 29.3
Oak 11 86.4 0 19.2
Dogwood 10 87.94 0 22.3
Sugarberry 40 36.54 0 29.1
Sugarberry 36 56.36 0 20
Elm 67 55.22 1 25.4
Oak 24 28.77 0 30
Elm 13 98.45 1 19.9
Dogwood 10 32.26 0 21.1
Dogwood 22 100.01 0 24.6
Oak 48 109.36 1 11.8
Elm 21 43.36 0 25.4
Elm 44 66.64 0 11.1
Sugarberry 24 89.27 0 14.2
Oak 37 113.49 0 25.2
Sycamore 11 68.01 0 24.1
Dogwood 68 74.76 1 23.6
Dogwood 19 21.77 1 21.2
Dogwood 45 85.37 0 11.5
Sugarberry 33 83.55 0 16.8
Dogwood 27 86.53 1 19.7
Sycamore 17 77.24 1 17.2
Sugarberry 25 39.7 0 23.2
Sugarberry 50 54.61 1 17.5
Sugarberry 32 21.78 1 27.8
Sycamore 20 23.5 0 14.8
Dogwood 26 47.06 0 10.5
Sycamore 137 115.89 1 20.7
Sugarberry 50 76.28 1 26.7
Elm 21 65.34 0 17.7
Elm 15 115.81 0 13.3
Sugarberry 43 26.69 1 16.3
Sugarberry 17 66.67 0 19.7
Sycamore 11 56.41 0 15.2
Elm 3 87.33 0 23.1
Dogwood 31 28.62 0 25.2
Oak 45 33.96 0 14.1
Sycamore 20 101.59 1 25.2
Oak 28 42.04 0 18.4
Sugarberry 59 25.02 0 17.8
Oak 27 63.66 0 22.8
Sycamore 1 23.38 0 26.8
Sycamore 94 80.63 1 15.5
Elm 41 81.94 0 29.9
Sugarberry 53 117.51 0 24.9
Dogwood 34 84.32 0 14.1
Sugarberry 24 52.78 1 12.4
Sugarberry 28 105.82 0 10.2
Dogwood 3 66.03 0 21
Sycamore 12 51.11 1 21.4
Oak 12 52.58 0 29.8
Elm 47 54.83 0 17.3
Sycamore 34 67.54 1 27.9
Oak 7 26.21 1 14.5
Sycamore 70 22.41 0 23.1
Elm 5 90.47 0 17.5
Sycamore 41 118.91 0 17
Dogwood 35 82.01 1 10.3
Oak 43 79.1 0 10.7
Sugarberry 43 86.52 0 11.1
Oak 9 71.95 0 13.7
Dogwood 41 103.75 1 29.3
Oak 47 29.82 0 27.2
Sugarberry 92 29.27 1 19.2
Dogwood 87 37.02 1 17.1
Elm 20 72.25 1 18.5
Sugarberry 5 25.55 0 27.2
Elm 32 44.6 0 29.9
Dogwood 19 49.71 0 21.4
Dogwood 30 23.58 1 26.7
Elm 82 59.25 1 15.7
Dogwood 13 38.87 1 25.1
Sycamore 33 103.17 0 25.8
Sugarberry 10 46.33 0 19.1
Oak 8 52.49 0 17.7
Oak 7 44.01 0 27.3
Oak 18 25.35 0 17.7
Dogwood 11 56.4 0 19.1
Elm 32 108.13 0 18.5
Sugarberry 23 24.87 1 27.4
Elm 3 113.26 0 15
Dogwood 3 40.82 0 14.2
Oak 3 115.68 0 13.3
Oak 56 20.25 1 25.3
Sugarberry 27 55.4 1 26.4
Sugarberry 14 103.06 0 11.1
Sycamore 10 23.78 0 16.4
Elm 23 53.1 0 22.9
Sycamore 11 109.07 0 22.4
Dogwood 25 85.42 0 17
Sycamore 51 99.77 1 23.9
Dogwood 21 82.63 1 28.1
Sycamore 38 53.11 0 26.6
Sycamore 11 115.91 1 24.1
Oak 29 61.02 0 28.7
Sugarberry 19 119.59 0 29.6
Sugarberry 46 75.5 0 20.3
Dogwood 62 104.95 0 16.1
Sycamore 29 55.93 1 12.4
Oak 23 59.67 0 25.4
Oak 11 47.54 0 15.2
Sugarberry 45 105.76 0 19.1
Oak 13 48.7 1 27.2
Sycamore 47 76.13 0 25.7
Sycamore 27 49.21 0 20.7
Sycamore 15 46.76 0 24.7
Dogwood 18 70.36 0 21.4
Dogwood 37 81.61 0 29.8
Elm 42 91.45 0 24
Oak 16 24.71 0 14.3
Oak 34 60.28 0 26
Elm 49 35.97 0 21.5
Sycamore 56 73.12 1 12.3
Elm 14 58.9 0 15.3
Sycamore 75 111.08 1 11.2
Sugarberry 90 29.56 1 18.1
Sugarberry 45 67.22 0 11.6
Oak 47 83.2 0 21.4
Elm 26 42.26 0 28.6
Dogwood 55 26.24 0 12.3
Dogwood 30 63.03 0 25.1
Oak 13 61.73 0 18.1
Sycamore 16 95.9 0 21.2
Elm 13 77.04 0 12.6
Oak 47 50.02 0 26.7
Sugarberry 54 105.71 0 13.4
Oak 48 53.56 0 14.5
Dogwood 12 34.87 0 20.1
Sycamore 12 95.55 0 12.1
Sugarberry 13 47.01 0 21
Oak 12 75.7 0 27.9
Sugarberry 90 65.17 1 20.2
Elm 17 114.45 0 28
Sugarberry 17 39.01 1 17.6
Elm 28 42.55 0 10.2
Oak 13 72.81 0 27.5
Elm 19 106.31 0 25.9
Oak 28 119.46 1 22.9
Sugarberry 32 47.11 0 15.1
Sugarberry 104 101.47 1 17.5
Dogwood 18 81.2 1 26.4
Sycamore 1 48.37 1 15.3
Oak 10 55.49 0 18.9
Dogwood 50 102.91 1 29.9
Sycamore 30 57.58 0 14
Sycamore 53 108.28 0 17.1
Elm 12 40.39 0 26.8
Oak 29 59.12 0 24.2
Oak 30 21.72 0 19.3
Sycamore 17 56.01 1 24.7
Sugarberry 12 95.5 0 23.3
Oak 29 20.63 0 21.7
Elm 19 100.77 0 17.3
Sycamore 11 92.35 1 13.4
Oak 74 24.1 1 11.3
Sugarberry 70 62.84 0 14.8
Dogwood 29 63.8 0 12.8
Sycamore 22 60.55 0 13.4
Oak 17 105.94 0 27.3
Elm 17 98.3 1 29.8
Sycamore 33 32.31 0 13.1
Sycamore 11 91.93 0 23.5
Sycamore 21 118.29 0 26.2
Oak 83 112.44 1 23.5
Sycamore 34 63.46 1 19.7
Sugarberry 88 84.73 1 26.8
Oak 64 45.39 1 19.1
Elm 8 39.69 0 14.7
Sycamore 14 57.21 0 23
Dogwood 27 26.38 0 20.5
Dogwood 91 96.18 1 22.2
Sycamore 128 53.14 1 12.4
Oak 25 22.35 0 13.6
Elm 13 91.85 0 21.3
Sugarberry 19 83.36 0 12.3
Sugarberry 70 117.41 0 14.5
Dogwood 43 35.06 0 25.2
Sycamore 45 99.79 0 19.2
Sycamore 43 117.61 0 25.6
Oak 81 43.89 1 21.3
Elm 2 118.62 0 19.4
Sycamore 50 27.62 0 28
Elm 51 81.38 1 26.6
Sugarberry 4 111.33 0 28.1
Sugarberry 50 94.84 1 23.2
Sugarberry 2 76.02 0 20.2
Elm 13 37.23 1 12.5
Sugarberry 13 56.22 0 25.5
Dogwood 15 55.33 0 29.2
Sycamore 38 67.88 1 29.7
Oak 36 66.89 0 16.6
Sugarberry 15 115.59 0 17.4
Sycamore 16 101.04 1 18.2
Sugarberry 12 54.6 0 15.3
Dogwood 50 102.42 0 21
Dogwood 40 60.29 0 15
Oak 6 86.82 0 16.2
Oak 32 96.18 0 28.9
Sugarberry 15 96.21 1 14.2
Dogwood 35 48.3 0 15.9
Oak 20 74.13 0 18.6
Oak 13 101.01 0 27.1
Elm 31 26.82 0 20.9
Oak 75 82.44 1 14.1
Sugarberry 15 101.19 0 27.8
Sycamore 3 45.7 0 29.1
Sycamore 5 101.14 0 11.8
Oak 33 90.3 0 17.3
Oak 21 59.96 1 28
Dogwood 21 101.37 1 24.3
Sycamore 35 63.41 0 29.4
Dogwood 29 118.86 1 13
Oak 87 42.89 1 28.5
Sycamore 22 112.8 0 19.2
Dogwood 36 56.56 0 25
Oak 29 62.49 1 27.1
Elm 22 104.45 0 23.6
Dogwood 29 83.68 1 14.8
Dogwood 75 44.64 1 10
Dogwood 51 53.65 1 19.9
Elm 19 117.3 0 13.9
Oak 0 23.69 0 12.6
Elm 29 75.99 0 28.3
Dogwood 32 68.67 1 11.9
Sycamore 48 49.61 1 13.5
Elm 1 103.22 1 24
Dogwood 44 25.23 1 15.8
Sugarberry 30 84.04 0 27.9
Sycamore 113 119.63 1 15.4
Elm 58 42.4 0 27.2
Sycamore 23 87.95 0 29.5
Dogwood 2 41.61 0 29.2
Elm 12 80.11 0 13.6
Dogwood 116 64.19 1 28.6
Dogwood 0 88.01 1 17.6
Sugarberry 23 104.25 0 15.5
Dogwood 12 91.4 0 21.7
Oak 61 111.22 0 26.7
Dogwood 65 110.66 1 25.7
Sugarberry 31 105.67 1 12.4
Elm 15 98.23 0 10.2
Sugarberry 67 112 0 28
Elm 18 69.6 0 24.9
Sycamore 28 29.82 0 23.7
Sugarberry 39 97.78 1 16.6
Sycamore 41 90.8 0 25.3
Oak 103 36.87 1 24.8
Sugarberry 12 86.63 1 11.7
Sycamore 5 114.49 0 29.1
Sugarberry 72 112.05 0 21.9
Sugarberry 32 26.23 0 11.8
Elm 2 87.73 0 14.2
Sugarberry 4 46.34 0 26.2
Sycamore 37 99.79 0 14.7
Elm 33 92.05 1 14.3
Dogwood 7 47.97 0 25
Oak 48 108.05 0 17.8
Sugarberry 16 119.42 0 16.9
Sugarberry 36 75.38 0 12.7
Oak 10 105.77 0 24.4
Sugarberry 53 113.89 0 17
Elm 12 33.53 0 27.7
Oak 41 110.38 0 16.4
Elm 12 104.06 0 13.8
Oak 52 76.53 0 14.8
Oak 33 24.6 0 22.9
Sugarberry 26 116.75 0 28
Oak 52 65.96 0 26.9
Oak 4 54.06 1 17.3
Sycamore 6 49.87 1 14.7
Sycamore 137 71.86 1 12.3
Dogwood 14 96.55 0 13.3
Oak 18 34.29 0 10.2
Sycamore 51 66.36 0 20.1
Sycamore 6 98.04 0 16.9
Dogwood 27 97.19 1 26.7
Dogwood 63 90.28 1 27.7
Oak 89 45.95 1 12.7
Dogwood 16 95.31 0 19
Dogwood 40 28.84 1 24.4
Elm 14 83.1 0 30
Sycamore 32 80.11 0 27.9
Oak 17 62.57 1 12.5
Elm 43 101.23 0 13
Elm 73 37.12 0 13.8
Elm 37 90.55 0 19.5
Elm 4 21.51 0 17.6
Sugarberry 85 56.24 0 22.8
Oak 28 40.13 0 20.3
Sycamore 9 70.05 1 13.2
Sycamore 52 71.89 1 27.8
Oak 13 78.06 0 11.7
Sycamore 14 40.49 0 20.6
Dogwood 22 30.35 1 21.1
Sugarberry 41 106.16 0 14.4
Sugarberry 9 24.24 1 11.8
Dogwood 62 87.57 0 29.8
Oak 30 61.02 0 11.2
Elm 63 118.24 0 11
Oak 35 88.62 0 14.4
Sycamore 48 21.2 1 26.4
Oak 79 74.34 0 18.2
Elm 39 112.76 0 20.4
Dogwood 40 22.93 1 22.3
Elm 21 95.27 0 26.5
Elm 4 75.17 0 20.8
Sycamore 10 59.16 0 16.8
Sugarberry 17 85.39 0 17.7
Dogwood 2 33.96 0 21.4
Sugarberry 7 115.06 0 20.3
Oak 42 59.97 1 22.3
Dogwood 55 81.08 1 13.3
Dogwood 6 119.98 0 12.2
Oak 67 82.51 1 17.2
Elm 21 119.29 0 14.5
Sycamore 47 46.79 1 26.6
Oak 18 45.87 0 23.1
Elm 28 35.95 0 16.1
Dogwood 45 96.99 0 30
Sugarberry 19 34.81 0 18.9
Sugarberry 38 76.37 0 18.7
Oak 30 26.84 0 12.4
Elm 51 82.45 0 29.8
Dogwood 9 104.9 1 23.6
Sugarberry 3 101.73 0 16.3
Sugarberry 19 86.36 0 15.6
Sugarberry 14 30.94 0 17.8
Elm 14 95.43 0 24.5
Sugarberry 23 108.18 1 11.3
Oak 42 74.16 0 16
Sycamore 8 93.16 0 27.2
Oak 44 84.23 1 14.6
Oak 8 90.97 0 28.4
Sycamore 58 45.07 0 11.1
Elm 44 42.39 0 18.5
Sycamore 24 85.21 0 11.7
Sycamore 44 41.83 0 11.6
Oak 2 114.55 1 10.1
Elm 43 118.06 0 23.1
Sugarberry 4 86.17 0 13.4
Sycamore 16 58.74 0 29.6
Dogwood 11 59.48 0 21.4
Oak 32 89.2 0 23.9
Oak 15 60.56 1 11.7
Elm 18 100.38 0 10.2
Sycamore 42 67.4 1 24.9
Elm 48 24.19 1 27.5
Oak 52 77.98 0 21.5
Oak 39 80.04 0 16.5
Sycamore 8 76.26 0 25.9
Dogwood 8 63.79 1 10.4
Oak 31 66.99 0 22.1
Sycamore 6 20.13 0 26.7
Dogwood 38 113.92 1 15.7
Sugarberry 54 103.41 1 18.8
Oak 4 27.49 0 17.3
Elm 56 54.89 0 27.1
Oak 33 101.3 1 19.5
Sycamore 23 95.53 0 20.2
Sugarberry 38 28 1 18.5
Elm 17 73.13 0 22.1
Sycamore 71 27.22 0 13.3
Elm 5 22.83 0 27.3
Elm 28 49.45 0 21.6
Dogwood 17 119.37 0 26.2
Elm 8 48.94 0 25.4
Elm 3 57.07 0 21.1
Dogwood 20 78.83 0 18.1
Sugarberry 1 93.58 0 14
Sugarberry 9 96.67 0 29
Sycamore 7 33.26 0 13.5
Oak 15 96.98 0 16.1
Elm 7 50.16 0 15.7
Elm 32 116.17 1 14.2
Sugarberry 29 30.89 0 15.3
Oak 14 117.3 1 12.6
Sugarberry 42 70.07 0 23.1
Dogwood 22 75.94 0 15.8
Sugarberry 8 34.01 0 24.5
Sycamore 16 50.93 0 12.2
Dogwood 40 74.92 0 21.3
Sugarberry 51 38.07 0 27.9
Elm 30 43.39 1 10.7
Elm 7 20.53 0 15.1
Sugarberry 23 64.92 0 27.8
Sugarberry 9 73.36 1 10
Sycamore 21 109.26 0 20.6
Sugarberry 34 67.83 1 16
Sugarberry 80 66.38 1 28.9
Elm 40 47.76 0 19.6
Sugarberry 28 20.46 0 11.9
Dogwood 15 99.75 0 29.4
Oak 17 36.47 0 16.5
Elm 9 28.77 1 16.1
Elm 23 71.74 0 16.2
Dogwood 28 86.29 0 30
Sugarberry 17 64.28 0 24.8
Elm 65 34.94 1 20.9
Sycamore 13 27.54 1 26.9
Sugarberry 8 51.9 0 19.3
Elm 32 34.55 0 16.6
Elm 15 32.1 0 18.4
Sycamore 25 93.66 0 24.9
Sycamore 29 53.23 1 21.1
Dogwood 15 65.96 0 16.2
Sycamore 12 102.17 1 10.1
Sycamore 33 37.65 1 22.1
Elm 13 44.6 0 19.8
Oak 20 102.65 1 20.5
Dogwood 15 77.43 0 15.2
Elm 42 94.57 0 15.1
Elm 32 115.2 0 28.8
Elm 9 41.93 0 28.6
Elm 16 111.53 0 20
Sycamore 24 118.93 1 22.5
Dogwood 42 60.67 0 14.7
Oak 45 104.66 1 11.5
Sycamore 21 47.2 1 19.8
Sugarberry 13 100.61 0 26.3
Sycamore 14 99.68 1 19.6
Sugarberry 162 88.99 1 14.7
Dogwood 21 76.93 1 16.9
Dogwood 23 40.69 1 20.9
Oak 22 81.01 0 11.4
Dogwood 15 93.37 1 24.2
Elm 3 63.08 1 16.6
Elm 1 54.09 0 15.1
Sycamore 52 48.02 1 22.5
Oak 48 89.08 1 20.5
Sugarberry 57 94.4 0 15.7
Sycamore 17 35.88 0 29.5
Sugarberry 38 57.74 0 14.6
Oak 30 91.94 0 22.7
Elm 46 36.44 0 16
Sugarberry 103 99.24 0 29.9
Sycamore 9 70.71 0 29.9
Dogwood 45 103.9 1 22
Sycamore 36 57.18 0 15.3
Elm 32 116.23 0 12.6
Dogwood 71 44.95 0 18
Elm 67 84.27 0 18.4
Elm 14 80.09 0 29.2
Sugarberry 25 69.39 0 24
Sugarberry 5 93.75 0 29.1
Oak 34 71.61 0 19.9
Sugarberry 29 107.21 0 16.4
Sycamore 19 62.62 0 10.4
Dogwood 23 97.45 0 25
Dogwood 28 63.96 1 29.3
Oak 14 51.55 0 28.4
Sycamore 7 25.01 0 18.4
Oak 64 84.52 1 26.4
Sycamore 42 62.91 1 22.2
Sugarberry 63 46.95 0 15.2
Dogwood 34 37.48 0 29.8
Sugarberry 37 98.13 0 15.4
Sugarberry 15 64.84 0 24.3
Sycamore 31 68.4 1 30
Sycamore 44 72.23 1 28.8
Elm 28 59.55 0 28.2
Oak 5 20.75 0 23.8
Sycamore 40 93.85 0 18
Oak 43 62.44 0 19.7
Elm 7 72.23 0 26.1
Oak 26 40.53 1 14.5
Elm 111 117.57 1 24.9
Sugarberry 62 67.54 1 22.3
Elm 19 54.84 0 19.7
Elm 17 74.49 0 22
Dogwood 96 25.72 1 21.4
Dogwood 44 94.73 0 24.8
Dogwood 4 82.05 1 15.9
Sycamore 60 42.58 0 25.1
Elm 94 105.89 1 11.5
Elm 13 107.79 0 26.9
Oak 6 109.35 0 25.1
Dogwood 17 55.46 1 24.9
Dogwood 110 26.1 1 28.3
Oak 17 83.43 0 18.7
Sycamore 19 53.97 0 24.2
Oak 32 103.62 1 13.9
Elm 72 37.74 0 29.3
Elm 7 115.91 0 16.2
Dogwood 57 20.19 1 19.1
Oak 12 49.16 0 18.1
Dogwood 37 105.73 0 16.8
Elm 94 66.06 1 20.7
Sugarberry 13 64.22 0 18
Oak 37 58.56 0 16.1
Sugarberry 10 103.21 0 28.7
Sycamore 15 48.85 1 11.2
Elm 22 33.61 0 24.3
Sugarberry 33 51.23 0 18.2
Oak 21 46.26 0 19.7
Dogwood 28 30.81 1 27
Sycamore 3 58.22 0 19.7
Dogwood 39 95.3 1 22.2
Oak 29 46.17 0 10.4
Elm 7 89.17 0 18.5
Oak 70 34.09 0 18.4
Oak 23 38.46 1 22.7
Elm 126 89.63 1 16
Sugarberry 22 44.57 0 13.6
Oak 30 62.76 0 28.4
Sugarberry 24 111.64 0 18.9
Dogwood 36 108.09 1 10.5
Sugarberry 59 99.72 1 24.4
Dogwood 9 81.53 0 14.6
Sycamore 79 86.65 0 17.6
Oak 17 93.59 0 18.6
Sycamore 34 36.7 1 23.4
Sycamore 54 94.32 0 13.3
Dogwood 58 84.19 0 25.7
Sycamore 60 71.23 0 21.2
Sugarberry 10 99.97 0 12.1
Dogwood 24 93.06 0 22.6
Elm 7 65.9 0 16.8
Elm 31 63.17 1 22.6
Dogwood 1 28.99 0 21.4
Oak 16 63.17 0 24.9
Oak 7 95.65 0 29.3
Oak 105 111.23 1 14.4
Dogwood 43 22.8 1 28.6
Oak 10 44.14 0 21.2
Dogwood 13 85 1 21
Elm 10 81.91 1 18
Dogwood 6 97.75 1 18
Oak 20 93.81 1 15
Sugarberry 74 25.06 1 15.7
Sugarberry 18 91.04 0 28.6
Dogwood 47 101.43 0 22.1
Oak 36 101.09 0 11.6
Oak 11 90.69 0 17.5
Dogwood 8 46.07 0 25.3
Sugarberry 13 88.41 0 16.6
Elm 21 93.23 0 27.3
Oak 14 96.92 1 24.9
Sycamore 18 73.32 0 22.5
Sugarberry 11 89.64 0 19.4
Sycamore 46 20.36 1 28
Elm 36 112.8 1 24.1
Sugarberry 67 37.65 0 20.2
Sugarberry 46 34.12 1 25.2
Elm 35 26.24 1 21.6
Dogwood 7 115.45 0 20.5
Sycamore 16 59.44 0 20.3
Dogwood 26 30.73 0 15
Sugarberry 17 29.24 0 24
Sycamore 105 78.23 1 18.2
Sycamore 7 23.23 1 13.1
Oak 43 65.09 1 26.5
Elm 1 60.79 0 13.7
Elm 38 27.78 0 17.5
Dogwood 67 78.76 0 24.2
Elm 53 97.59 0 15.7
Oak 17 73.39 0 11.7
Oak 106 23.99 1 29.2
Sycamore 96 69.65 1 16.1
Oak 13 79.32 0 29.4
Elm 67 105.2 1 27.7
Elm 25 80.34 0 10.8
Dogwood 14 48.18 1 19
Sycamore 23 89.14 0 19.7
Elm 12 118.06 0 19.5
Dogwood 15 52.44 0 23
Elm 71 58.3 0 19.1
Dogwood 18 20.52 0 19.6
Sugarberry 35 60.45 0 13.4
Sugarberry 37 42.27 0 16.3
Sugarberry 99 64.84 1 18.1
Sugarberry 5 73.22 0 13.2
Dogwood 21 73.16 0 14.7
Elm 15 80.2 0 11.4
Sugarberry 72 63.16 0 22.3
Dogwood 79 32.29 1 16.2
Sycamore 41 67.3 0 25.4
Sycamore 42 66.26 1 25
Sugarberry 7 56.95 0 11.5
Sycamore 42 97.92 0 19.3
Sycamore 4 104.2 0 19.5
Oak 13 82.28 1 12.3
Sycamore 36 87.81 0 28.9
Elm 4 84.29 1 23.2
Sycamore 2 84.71 1 27.8
Elm 36 26.64 0 20.7
Dogwood 58 22.59 1 20.2
Sugarberry 66 78.77 0 12.9
Sugarberry 13 81.9 0 27.3
Sugarberry 44 43.88 1 26.1
Dogwood 18 80.36 0 19.5
Sycamore 3 41.26 0 28.4
Elm 3 31.4 0 15.3
Sycamore 71 69.93 1 29.9
Sugarberry 8 117.34 1 18.4
Oak 13 81.51 1 24.3
Sugarberry 27 88 0 26.6
Sugarberry 2 50.81 0 28.5
Elm 24 88.57 0 15.9
Oak 47 68.83 0 13.6
Sycamore 29 88.69 0 10.8
Sycamore 26 32.67 0 22
Elm 2 32.59 0 19.7
Dogwood 56 50.9 0 18
Sugarberry 40 28.1 0 14
Dogwood 26 101.21 0 19.6
Dogwood 0 66.01 0 20.2
Oak 26 72.48 0 17.7
Dogwood 42 20.56 1 24.6
Elm 20 91.11 0 29.8
Sycamore 1 96.75 1 25.5
Dogwood 11 116.08 1 24.3
Oak 7 70.1 0 20.4
Sycamore 46 24.14 0 22.2
Elm 32 31.9 0 20.9
Sugarberry 20 23.98 0 29.9
Sycamore 1 102.51 1 29.5
Dogwood 64 92.52 1 22.8
Sycamore 44 44.64 0 26.3
Dogwood 15 59.78 0 15.3
Dogwood 30 38.17 1 23.9
Sugarberry 30 100.63 0 29.2
Oak 23 112.68 1 15.7
Sugarberry 29 25.43 0 22.7
Sycamore 139 85.24 1 27.4
Elm 21 33.87 0 13.1
Sycamore 3 46.94 1 13.3
Sycamore 66 73.38 1 13.8
Sycamore 5 102 0 29.3
Elm 26 100.94 0 25.3
Dogwood 57 71.16 0 14
Dogwood 8 29.87 0 15.6
Sugarberry 35 67.44 0 22.8
Dogwood 103 34.88 1 17
Oak 41 102.45 0 10.7
Dogwood 28 38.33 0 14.2
Elm 59 34.69 0 22
Elm 44 50.03 0 14.7
Sycamore 78 75.22 1 21.5
Oak 7 64.81 0 13.1
Sycamore 4 90.81 0 12.3
Sycamore 31 64.84 1 16.1
Oak 16 99.16 0 24.3
Oak 19 30.56 0 15.4
Oak 0 58.96 0 22.6
Dogwood 48 85.28 0 13.8
Dogwood 23 118.81 1 18.1
Elm 20 69.26 1 16.2
Oak 34 102.03 0 27.5
Sugarberry 9 113.98 0 22.8
Sycamore 16 113.53 0 24.6
Elm 22 33.86 0 27.1
Dogwood 99 45.56 1 27.9
Elm 9 70.26 0 21.1
Sycamore 19 73.76 0 26.7
Dogwood 25 53.79 0 20.6
Sycamore 43 23.59 1 14.8
Sycamore 9 117.2 0 26.7
Sycamore 18 60.4 0 19.8
Sycamore 44 67.08 1 20
Oak 80 61.48 1 22.9
Elm 50 98.13 0 19.6
Oak 8 88.54 1 28
Sugarberry 22 42.9 0 22.5
Sugarberry 17 40.15 0 17.9
Elm 54 75.54 0 14.4
Dogwood 47 85.46 0 14.6
Dogwood 60 52.91 0 17.1
Elm 96 53.14 1 19.2
Sycamore 27 54.46 0 24.9
Sugarberry 36 118.84 0 19.3
Elm 3 49.59 0 28
Dogwood 104 105.85 1 17.7
Elm 61 44.34 1 10.3
Dogwood 49 79.5 0 10.6
Sugarberry 100 55.29 1 14.5
Dogwood 46 96.5 0 19
Oak 12 67.89 0 17.7
Elm 17 86.85 0 13.6
Sycamore 39 49.18 1 13.4
Sycamore 29 65.48 1 25.4
Sycamore 28 111.28 0 18.5
Sugarberry 5 107.4 0 20.6
Sugarberry 4 50.09 0 26.6
Sycamore 57 45.06 1 13
Dogwood 31 79.48 0 13.9
Dogwood 8 81.91 0 27.5
Oak 22 101.25 1 22
Dogwood 30 96.83 0 21.7
Sycamore 39 23.17 1 29.6
Oak 25 88.05 0 17.5
Elm 35 87.57 0 17.4
Sycamore 44 75.78 1 13.7
Sugarberry 38 38.27 0 13.4
Oak 26 31.46 1 24.2
Sugarberry 21 43.41 0 19.2
Oak 27 85.14 1 21.8
Oak 15 113.42 1 19.1
Sycamore 54 39.27 1 25.3
Sugarberry 9 34.8 1 19
Sycamore 53 80.76 0 10.7
Dogwood 8 98.41 0 12.5
Oak 10 71.24 0 15.5
Dogwood 49 84.78 1 18.3
Elm 74 112.9 0 27.8
Dogwood 39 88.98 0 26.9
Elm 29 77.05 0 11.5
Dogwood 1 32.88 0 12
