planet temperature size reflection
Radiated 11.3 55 43
Thermic 95.1 53 60
Aquatic 27.7 87 17
Radiated 28.7 80 40
Earthlike 50.4 13 78
Thermic 51.4 43 91
Iced 53.6 52 35
Earthlike 80.3 5 41
Earthlike 30.3 79 25
Earthlike 94.9 11 18
Radiated 17.7 81 68
Radiated 14.9 97 73
Thermic 61.6 73 52
Thermic 88.9 66 43
Aquatic 37.6 59 44
Earthlike 72.4 59 17
Thermic 98.7 81 99
Earthlike 20.5 93 11
Radiated 14 57 91
Thermic 62.7 23 7
Thermic 85.1 59 68
Thermic 95.1 11 75
Aquatic 38.7 97 1
Iced 86.5 48 13
Thermic 63 77 83
Radiated 45.5 4 47
Iced 52.6 0 90
Thermic 96.6 99 90
Aquatic 48 39 44
Thermic 37 80 82
Thermic 98 62 58
Radiated 48.6 45 2
Earthlike 6.9 42 89
Earthlike 30.4 86 20
Aquatic 38.1 38 20
Iced 24.3 65 52
Iced 91 58 17
Iced 46.7 37 33
Iced 43.8 37 44
Aquatic 25.9 30 71
Earthlike 41.6 8 91
Thermic 66.5 48 92
Earthlike 89.7 4 61
Aquatic 62.9 8 33
Earthlike 2.1 52 14
Radiated 53.8 41 27
Aquatic 17.3 70 46
Thermic 89 10 12
Iced 98.7 43 67
Radiated 23.9 66 88
Thermic 62.9 6 47
Thermic 98.1 86 34
Earthlike 22.3 65 36
Thermic 54.7 71 69
Thermic 57.7 58 68
Aquatic 37 46 56
Iced 85.7 73 29
Thermic 80.6 50 47
Thermic 59.6 94 40
Radiated 22.7 91 95
Thermic 72.4 32 62
Earthlike 34.9 40 9
Radiated 21.7 81 70
Thermic 35.4 93 85
Iced 43.5 22 37
Thermic 96.5 32 56
Aquatic 98.3 16 15
Radiated 30.7 39 76
Thermic 35.9 54 92
Earthlike 3.3 62 26
Radiated 25.3 7 79
Thermic 92.3 22 85
Radiated 20.6 72 71
Aquatic 59.1 47 46
Iced 11.9 33 77
Earthlike 25 36 84
Thermic 71.1 55 35
Thermic 62.9 66 72
Radiated 33.5 48 88
Earthlike 65.6 57 28
Earthlike 28.3 39 77
Thermic 92.3 47 34
Iced 47.8 22 49
Thermic 74.8 82 50
Iced 57.8 88 99
Radiated 23 10 89
Thermic 49.8 88 93
Thermic 46 89 45
Aquatic 30 30 21
Aquatic 49.3 17 60
Iced 26.1 76 22
Earthlike 25.5 11 79
Thermic 88.2 53 93
Radiated 70.2 45 9
Iced 41.4 91 13
Earthlike 85.9 61 8
Thermic 54.9 6 56
Iced 63.8 54 33
Thermic 83.5 49 96
Iced 25.7 0 83
Earthlike 97.3 23 33
Iced 79.9 71 45
Iced 29.2 25 63
Aquatic 41.3 80 26
Radiated 53.2 75 40
Thermic 57.9 63 55
Earthlike 84.9 8 12
Aquatic 27.6 49 3
Iced 70.4 4 21
Aquatic 9.2 56 41
Thermic 77.8 25 67
Aquatic 28.2 74 32
Thermic 60 98 58
Aquatic 86.9 47 3
Iced 59.1 57 44
Iced 6.2 80 18
Aquatic 19.6 51 8
Thermic 50.6 59 54
Thermic 76.2 2 94
Thermic 69 4 94
Earthlike 56.2 34 24
Thermic 92.2 99 13
Earthlike 19.8 4 41
Earthlike 40.8 36 11
Radiated 57.2 97 14
Iced 42.1 60 29
Thermic 89.6 19 55
Radiated 11.6 97 69
Thermic 69.5 36 95
Iced 29.6 31 33
Iced 30.1 17 2
Thermic 62.9 0 100
Iced 88.4 60 29
Earthlike 17.3 58 62
Earthlike 37.6 19 52
Earthlike 18.3 37 33
Iced 90.2 11 28
Thermic 92.2 48 42
Thermic 31.4 88 97
Aquatic 25.9 83 13
Thermic 98.4 96 60
Iced 32.1 50 14
Earthlike 23.2 21 83
Radiated 58.2 2 20
Aquatic 55.2 36 2
Thermic 59.6 40 71
Thermic 51.6 73 51
Earthlike 75.9 23 43
Radiated 71.9 83 13
Aquatic 1.4 89 26
Earthlike 59.2 71 10
Aquatic 96.6 9 34
Thermic 26 90 99
Radiated 20.3 75 50
Thermic 79.6 57 57
Radiated 50.6 19 35
Radiated 23.9 99 29
Thermic 65.2 67 71
Aquatic 38.6 99 4
Thermic 36.6 61 99
Earthlike 4.2 30 59
Iced 29.4 77 20
Aquatic 38.9 22 29
Thermic 71.4 99 57
Radiated 46.2 70 25
Aquatic 6.1 48 17
Thermic 63 78 81
Earthlike 56.1 7 61
Iced 99.7 8 3
Earthlike 57.6 13 95
Thermic 81.3 6 94
Thermic 52.9 7 73
Earthlike 23.4 61 88
Thermic 56.3 93 97
Aquatic 85.8 14 3
Earthlike 53.9 8 8
Iced 95.4 85 97
Earthlike 15.1 10 31
Thermic 76.2 38 88
Thermic 85 17 52
Thermic 79.3 89 89
Earthlike 13.5 43 52
Iced 0.6 84 17
Iced 57.5 24 1
Radiated 29 11 22
Radiated 48.7 43 13
Thermic 84 62 62
Iced 57.5 40 8
Earthlike 21.1 24 28
Earthlike 13.5 52 69
Iced 43.3 69 10
Thermic 73.1 55 42
Thermic 79.5 28 80
Thermic 44.7 86 27
Earthlike 38.2 81 18
Thermic 77.7 13 87
Iced 41.5 30 35
Iced 96.8 83 98
Thermic 57.5 37 98
Iced 76.1 63 37
Radiated 49.3 99 44
Earthlike 43.8 48 1
Thermic 90.5 79 52
Thermic 93.8 87 73
Thermic 92.2 97 54
Radiated 20.9 74 59
Thermic 58.3 35 66
Thermic 92.7 30 75
Earthlike 26.9 71 65
Thermic 58.4 78 67
Iced 42.8 96 3
Aquatic 27.7 3 72
Thermic 75.1 21 90
Radiated 26.5 52 76
Aquatic 77.4 38 5
Aquatic 56.4 34 21
Thermic 43.3 27 83
Thermic 94.3 91 21
Radiated 9 60 53
Thermic 65.5 76 42
Radiated 34.3 94 50
Radiated 50.8 19 63
Thermic 89.4 87 59
Earthlike 56.3 14 63
Thermic 88.5 57 28
Thermic 65.4 46 56
Earthlike 5.9 30 42
Earthlike 89.3 70 14
Radiated 9 56 57
Thermic 59.9 68 87
Earthlike 59.5 19 67
Radiated 23.7 81 66
Earthlike 11.6 7 11
Thermic 97.5 43 51
Earthlike 11.3 63 72
Iced 2.6 25 9
Thermic 67.9 2 73
Thermic 77.6 41 86
Thermic 44.2 50 93
Radiated 19.7 52 46
Aquatic 39.8 42 3
Iced 77.6 63 37
Iced 31.6 67 10
Aquatic 63.7 8 32
Earthlike 43.1 25 62
Earthlike 29.1 46 96
Aquatic 75.1 56 27
Thermic 64.4 19 61
Thermic 93.5 35 28
Thermic 81.3 52 70
Radiated 8.3 82 11
Thermic 71.9 32 8
Earthlike 82.4 0 61
Earthlike 26.7 51 91
Iced 3.9 28 5
Thermic 67.1 11 52
Iced 10.6 1 24
Thermic 74.7 24 29
Earthlike 3.3 11 54
Earthlike 43.1 30 54
Thermic 83.6 31 91
Thermic 36.6 67 92
Iced 35 3 67
Aquatic 52.2 48 42
Iced 37.4 77 85
Radiated 52.3 82 22
Thermic 69.6 69 58
Thermic 60.3 86 59
Radiated 1.1 52 55
Iced 0.2 29 86
Radiated 14.9 25 12
Iced 35.8 40 59
Thermic 66.8 34 91
Thermic 75.9 18 18
Earthlike 14.2 83 13
Earthlike 37.2 39 97
Earthlike 13.9 59 84
Thermic 78.4 96 6
Iced 20.1 14 17
Radiated 4.1 26 96
Thermic 97.5 93 34
Thermic 94.8 50 6
Iced 96.3 87 65
Iced 12 29 34
Thermic 64.1 60 82
Iced 11.8 65 9
Radiated 17.5 82 52
Thermic 87.5 5 93
Thermic 42.8 76 62
Aquatic 48.3 95 18
Iced 41.2 63 36
Iced 98.6 15 10
Iced 55.7 8 69
Thermic 82.6 59 52
Thermic 95.6 53 67
Aquatic 48.7 66 29
Radiated 7.1 32 47
Aquatic 0.8 66 65
Thermic 81.9 44 68
Thermic 80.7 98 2
Thermic 62 58 1
Thermic 97.9 88 55
Radiated 28 85 23
Iced 38.8 55 6
Thermic 40.1 97 94
Thermic 58 23 91
Earthlike 62.7 26 77
Thermic 38.4 60 83
Thermic 88.3 93 1
Thermic 77.6 79 33
Earthlike 28.2 54 25
Earthlike 41 39 10
Thermic 72 66 96
Thermic 85 92 89
Aquatic 32.6 26 70
Thermic 95.4 64 26
Radiated 12.4 63 31
Iced 11.6 67 45
Iced 46 49 63
Aquatic 36 3 45
Thermic 57.3 60 98
Thermic 88.8 60 34
Radiated 28.5 87 65
Thermic 49.7 86 79
Radiated 16.7 43 52
Iced 53.4 28 55
Thermic 56.6 87 49
Radiated 22.1 99 37
Iced 42.9 5 55
Earthlike 82.7 54 29
Thermic 56.3 84 45
Thermic 78.7 74 43
Earthlike 41 8 69
Radiated 30.6 77 62
Earthlike 51.1 2 99
Earthlike 89.4 22 63
Thermic 67.6 58 48
Iced 81.3 80 72
Iced 68.7 22 27
Iced 33.2 3 72
Iced 43.1 0 63
Aquatic 8.1 82 27
Thermic 77 97 28
Iced 39.3 63 2
Thermic 90.1 41 93
Thermic 84.8 49 69
Radiated 13.4 48 22
Thermic 91.3 91 37
Thermic 84.9 67 81
Thermic 99.5 45 56
Aquatic 6.1 99 23
Thermic 49.7 70 89
Thermic 77.7 61 45
Radiated 52.3 76 48
Thermic 77.4 82 17
Earthlike 93.8 3 48
Earthlike 20 74 46
Thermic 94.7 43 79
Thermic 63 48 93
Thermic 59.2 75 50
Thermic 54.3 52 78
Earthlike 26.5 49 95
Aquatic 26.7 69 46
Radiated 5.7 90 67
Radiated 6.6 93 58
Radiated 23.1 21 38
Thermic 81.6 15 56
Thermic 54.9 0 58
Thermic 77.1 48 76
Aquatic 23.3 96 8
Radiated 31.5 36 71
Radiated 24 34 56
Thermic 78.8 96 88
Earthlike 24 56 53
Thermic 94.3 92 66
Radiated 36 82 47
Aquatic 31 6 44
Thermic 81.1 80 24
Iced 66.7 45 57
Thermic 55 94 58
Thermic 47.7 71 56
Thermic 66 20 55
Radiated 4 81 61
Aquatic 67.5 5 22
Thermic 48.7 71 71
Iced 72.9 61 16
Aquatic 31.6 1 24
Thermic 76.4 16 10
Earthlike 52.8 37 18
Thermic 87.7 18 86
Thermic 57.1 78 95
Aquatic 13.5 32 12
Iced 69.5 2 7
Thermic 84.8 99 17
Radiated 6.3 84 60
Iced 4.7 29 83
Earthlike 76.2 4 99
Thermic 87.1 16 74
Thermic 69.2 70 49
Earthlike 65.4 23 82
Thermic 56.5 50 99
Thermic 40 47 98
Earthlike 95.9 17 69
Earthlike 0.9 5 17
Thermic 49.5 84 100
Earthlike 23.5 52 97
Thermic 65.7 81 54
Thermic 75.4 92 81
Earthlike 54.5 20 74
Thermic 37.1 78 70
Earthlike 52.5 24 70
Thermic 56.6 31 94
Thermic 71.3 14 82
Radiated 41.9 80 31
Thermic 59.5 57 88
Radiated 27.6 79 6
Radiated 20.2 99 90
Earthlike 78.3 45 16
Thermic 70.8 36 64
Thermic 69.7 92 66
Aquatic 59 4 20
Aquatic 23.2 8 38
Aquatic 61.1 21 1
Thermic 48.5 71 98
Thermic 43.1 14 64
Thermic 65.5 93 87
Iced 34 70 69
Iced 98 64 18
Radiated 18.5 61 18
Earthlike 12.7 40 76
Radiated 54.3 31 24
Iced 79.2 66 15
Earthlike 33.6 56 43
Earthlike 7.8 83 66
Thermic 96.7 64 55
Thermic 53.4 45 36
Thermic 85.5 51 76
Earthlike 56 15 22
Radiated 14.8 80 89
Aquatic 16.1 25 18
Thermic 76.5 83 62
Earthlike 26.7 12 17
Radiated 18.5 24 31
Aquatic 46 82 31
Radiated 15.9 82 96
Earthlike 7.3 31 88
Iced 71 63 0
Earthlike 11.8 60 44
Radiated 45.6 5 52
Radiated 16.1 80 92
Thermic 69.4 73 53
Thermic 66.5 36 71
Radiated 34 34 28
Thermic 49.8 64 96
Earthlike 11.6 54 57
Iced 55.2 29 64
Earthlike 74.8 11 66
Thermic 81.9 34 89
Aquatic 4 16 22
Thermic 58.4 38 50
Radiated 45 89 40
Radiated 34.1 92 43
Aquatic 91.4 6 29
Thermic 91.7 99 3
Earthlike 34.2 90 26
Radiated 6 50 24
Radiated 26.9 96 30
Iced 42.7 73 20
Thermic 73.1 89 21
Thermic 65.7 100 41
Thermic 86.9 20 75
Iced 35.1 21 42
Radiated 45.4 94 51
Iced 22.1 33 5
Iced 4.9 19 80
Thermic 71.1 44 48
Earthlike 60.5 35 42
Aquatic 68.8 40 47
Thermic 65.3 81 50
Radiated 3.8 34 3
Earthlike 80.5 42 13
Radiated 17.3 62 61
Earthlike 13.8 71 32
Thermic 93.9 80 95
Iced 13.8 20 25
Aquatic 8.3 89 44
Iced 63.6 65 7
Radiated 20.6 53 28
Thermic 68.8 91 39
Radiated 15.6 14 12
Radiated 3.7 58 60
Earthlike 54.5 64 27
Thermic 52.1 41 61
Aquatic 18 12 17
Radiated 2.1 58 4
Earthlike 28.9 39 91
Thermic 68.1 96 64
Radiated 40.7 67 68
Radiated 7.9 36 94
Earthlike 4.3 0 85
Radiated 27.3 43 4
Thermic 70.8 36 91
Radiated 25.6 98 80
Thermic 61.4 78 73
Thermic 98 24 62
Aquatic 85.4 45 35
Thermic 69.1 25 76
Aquatic 6.5 22 40
Earthlike 9.2 21 76
Iced 90.5 90 32
Thermic 46.5 79 84
Radiated 32 46 16
Iced 47.3 82 26
Thermic 65.8 7 85
Thermic 85.6 70 85
Thermic 95.9 77 41
Radiated 17.5 54 84
Iced 53.8 40 2
Radiated 21.1 26 87
Aquatic 71.8 24 51
Aquatic 0.1 15 90
Earthlike 62 24 60
Iced 24.4 91 2
Earthlike 91.8 16 27
Thermic 76.7 57 81
Aquatic 80 14 34
Thermic 80.2 39 83
Radiated 3.7 98 83
Thermic 35.2 90 72
Thermic 29.9 59 76
Earthlike 90.1 9 22
Earthlike 56.4 41 26
Earthlike 33.1 16 71
Earthlike 92 29 14
Thermic 78.3 15 56
Thermic 85.8 45 53
Thermic 60 100 49
Radiated 8.6 98 39
Earthlike 18.8 22 80
Earthlike 18.5 65 52
Thermic 72.4 41 65
Earthlike 18.4 32 95
Iced 78.7 31 18
Iced 36 48 74
Radiated 62.3 2 7
Thermic 95.2 37 42
Iced 79.1 13 26
Thermic 89.2 69 25
Earthlike 18.1 40 12
Thermic 68.2 84 57
Thermic 77.1 35 85
Aquatic 30.5 3 4
Thermic 93.9 64 82
Radiated 34.2 21 46
Earthlike 23.6 53 14
Thermic 79 74 7
Radiated 40.2 55 37
Radiated 23.7 55 28
Aquatic 14.3 40 41
Earthlike 22.9 36 73
Earthlike 54.9 16 93
Earthlike 38.1 10 97
Radiated 13.3 100 46
Thermic 58.6 9 87
Thermic 50.6 86 53
Aquatic 19.9 37 13
Thermic 77.1 51 97
Earthlike 90.6 37 24
Thermic 47.3 37 73
Aquatic 71.2 22 27
Aquatic 15.4 7 33
Radiated 28.6 94 79
Iced 41.4 75 63
Thermic 56.5 1 89
Earthlike 81.5 15 82
Radiated 35.4 62 57
Thermic 63 22 9
Radiated 50 84 41
Thermic 97.1 20 4
Earthlike 89.7 23 41
Thermic 40.3 81 72
Aquatic 18.4 42 30
Thermic 57.6 96 85
Thermic 55.9 50 42
Thermic 95.5 50 93
Earthlike 48.5 77 9
Radiated 19 3 94
Thermic 88.5 13 20
Thermic 93.9 70 90
Radiated 3.5 83 62
Earthlike 56.7 14 96
Thermic 79.5 86 71
Radiated 1.8 3 44
Thermic 88.8 28 99
Thermic 67.3 6 67
Thermic 71.2 55 81
Radiated 51.6 88 22
Iced 70.1 36 4
Earthlike 9.2 69 70
Thermic 74.9 64 86
Thermic 83.4 82 90
Aquatic 44.7 11 35
Thermic 70.2 100 58
Radiated 36.9 2 39
Radiated 9.6 58 86
Iced 19.2 24 27
Thermic 92.5 99 75
Thermic 83 56 24
Earthlike 59 26 61
Iced 38.8 57 16
Thermic 44.2 50 72
Thermic 47.6 35 95
Radiated 2.4 82 54
Radiated 1.3 50 86
Thermic 83.9 22 74
Aquatic 22.3 63 55
Iced 40.2 8 8
Iced 17.7 17 57
Radiated 42.5 77 49
Radiated 34.9 84 16
Aquatic 54.8 45 0
Iced 43.8 86 40
Thermic 97.2 24 62
Radiated 20.6 95 1
Radiated 9 20 54
Thermic 98.2 61 26
Thermic 42.2 63 96
Thermic 60.2 52 64
Iced 99.3 46 34
Thermic 74.5 33 74
Thermic 57.6 85 61
Earthlike 73.4 7 84
Radiated 49.3 1 33
Iced 66.9 8 21
Aquatic 89.6 27 22
Radiated 4.3 74 14
Earthlike 0.9 2 17
Thermic 93 77 15
Earthlike 38.9 22 34
Radiated 23.9 85 58
Earthlike 22.9 57 94
Thermic 66.5 98 58
Thermic 78.6 53 57
Earthlike 25.4 56 0
Radiated 7.5 94 79
Earthlike 2.4 6 94
Earthlike 74.3 1 90
Radiated 23.8 2 44
Earthlike 1.8 20 72
Thermic 80.5 58 58
Thermic 57.9 42 57
Iced 32.1 3 42
Thermic 89.1 27 60
Iced 59.1 38 20
Thermic 78.3 87 54
Thermic 69.5 78 62
Thermic 60.3 71 54
Iced 91.8 87 81
Earthlike 28.8 28 67
Earthlike 8.9 56 88
Earthlike 5.4 28 33
Earthlike 72.3 4 36
Thermic 92.8 66 38
Thermic 88.4 53 16
Earthlike 63.4 3 27
Earthlike 29.9 42 42
Thermic 73.7 83 89
Thermic 71.2 53 66
Thermic 64.4 47 26
Aquatic 4.9 88 38
Iced 80.8 85 78
Earthlike 7.7 99 16
Earthlike 33.8 66 16
Thermic 92.4 99 72
Thermic 80.3 95 40
Earthlike 33.8 23 4
Earthlike 10.6 12 29
Thermic 98.9 77 38
Iced 43.1 59 26
Radiated 25.4 95 56
Aquatic 61.2 4 17
Aquatic 51.5 54 3
Earthlike 6.9 17 72
Thermic 63.1 39 94
Thermic 94 49 26
Thermic 69.8 97 45
Earthlike 54.4 11 32
Thermic 54.5 43 71
Radiated 20.6 2 93
Earthlike 13.7 62 95
Thermic 87.9 56 51
Earthlike 18.6 42 18
Thermic 67.7 84 45
Earthlike 5.4 49 57
Earthlike 11.1 63 64
Iced 46.4 20 27
Thermic 97.5 18 99
Thermic 76.6 25 40
Earthlike 66.3 48 66
Earthlike 22.2 40 64
Radiated 65.4 48 14
Aquatic 72.5 18 2
Radiated 65.7 60 2
Radiated 2.9 50 93
Radiated 57.5 98 45
Thermic 71.6 84 39
Aquatic 8.1 27 86
Earthlike 46.8 24 96
Thermic 60.7 28 49
Radiated 27.2 85 55
Thermic 93.5 34 95
Iced 19.6 61 0
Earthlike 85.4 1 14
Iced 83.9 70 40
Earthlike 90.5 32 29
Thermic 72.7 40 50
Thermic 58 75 44
Thermic 24.7 97 96
Iced 85 53 31
Thermic 50.9 40 85
Aquatic 18.1 58 60
Earthlike 95.2 13 58
Iced 91.9 9 5
Earthlike 92.1 11 57
Iced 28.5 68 21
Aquatic 22.2 1 63
Earthlike 22.9 49 82
Thermic 77.5 35 3
Iced 58.6 79 80
Thermic 50.1 95 58
Earthlike 69.6 70 2
Thermic 87.2 46 30
Thermic 78.1 38 18
Earthlike 3.8 34 90
Earthlike 69.8 14 14
Thermic 88.9 66 85
Thermic 89.9 69 93
Iced 93.8 40 21
Thermic 82.2 51 99
Aquatic 11.5 64 51
Radiated 3.5 1 49
Thermic 74.7 63 94
Thermic 53.2 84 40
Thermic 84 96 80
Earthlike 13.5 89 43
Iced 11.1 24 50
Thermic 96.7 41 5
Thermic 81.3 79 90
Thermic 90 42 11
Thermic 86.3 58 73
Thermic 66.9 31 30
Radiated 29.7 99 76
Aquatic 42.5 26 42
Aquatic 67 19 29
Radiated 42.4 79 67
Earthlike 56.8 24 14
Thermic 64.3 43 100
Earthlike 85.1 38 49
Aquatic 5.6 54 30
Aquatic 35.6 21 54
Iced 71.9 82 9
Thermic 85.7 75 11
Iced 90.7 73 34
Radiated 75.6 35 16
Radiated 46.9 50 33
Radiated 42.2 97 22
Thermic 85.1 98 17
Aquatic 93.1 3 8
Earthlike 91.7 47 11
Thermic 53.6 75 64
Thermic 97.3 46 60
Thermic 72 52 92
Thermic 65.5 53 99
Aquatic 10.6 28 78
Thermic 99.8 82 25
Aquatic 1.6 16 48
Aquatic 39.7 25 6
Thermic 65 51 74
Thermic 85.6 57 50
Aquatic 14.9 5 88
Thermic 94.2 21 52
Thermic 74.6 10 61
Earthlike 39.8 48 35
Iced 67.9 17 26
Thermic 79.8 56 38
Iced 48.1 76 3
Earthlike 7.3 32 13
Thermic 88.2 94 11
Iced 25.2 23 72
Thermic 54.8 69 46
Iced 32.2 47 39
Earthlike 48.3 59 10
Thermic 58.5 97 88
Earthlike 38.1 19 92
Thermic 67.8 64 96
Aquatic 13.6 15 28
Earthlike 49.2 22 31
Thermic 66.7 39 81
Radiated 20.7 79 98
Radiated 14.8 38 21
Aquatic 14.2 55 49
Earthlike 75 4 66
Radiated 0.1 16 24
Aquatic 41.6 13 40
Radiated 23.3 34 30
Thermic 65.3 97 96
Earthlike 55.1 77 5
Thermic 98.5 51 89
Earthlike 64.9 81 8
Thermic 82.4 95 78
Radiated 8.9 27 83
Earthlike 40.4 2 2
Radiated 59.6 68 45
Aquatic 18.1 13 72
Aquatic 94.4 38 9
Radiated 11.1 97 76
Thermic 88.7 43 93
Earthlike 15.6 55 86
Earthlike 37.4 18 100
Iced 30.4 73 17
Radiated 28.7 81 37
Thermic 99.7 38 76
Aquatic 16.8 31 23
Thermic 87 27 97
Iced 2.9 18 29
Iced 0.3 88 20
Radiated 35.5 1 36
Radiated 0.3 54 78
Earthlike 70.3 17 49
Thermic 96 35 49
Thermic 81.7 98 56
Thermic 59.5 60 88
Thermic 82.2 6 27
Thermic 51.7 70 58
Aquatic 1.3 95 37
Radiated 42.4 30 55
Radiated 3.9 78 90
Thermic 78.9 13 98
Earthlike 26.5 21 96
Radiated 46.3 64 40
Thermic 65.1 75 89
Earthlike 60.7 37 84
Iced 41.7 14 64
Radiated 42.3 49 34
Iced 75 34 35
Aquatic 55.7 6 39
Earthlike 72.8 11 29
Radiated 80.3 6 11
Thermic 82.5 78 12
Earthlike 59.9 10 63
Thermic 69.2 41 88
Radiated 2.8 100 69
Aquatic 4.2 77 40
Radiated 56.3 46 17
Radiated 1.5 22 78
Iced 13.2 51 50
Earthlike 76.2 52 9
Earthlike 47.2 24 92
Iced 40.4 32 5
Radiated 1.2 94 66
Earthlike 60.6 3 83
Thermic 69.6 11 57
Earthlike 15.5 56 74
Thermic 58.4 80 57
Iced 52.9 65 25
Thermic 95.9 65 79
Earthlike 41.2 13 70
Iced 26.7 45 5
Aquatic 5.4 28 54
Radiated 50.1 11 60
Thermic 73.9 93 70
Earthlike 52.6 38 81
Aquatic 14.5 49 19
Aquatic 33.9 41 8
Iced 1.5 24 25
Earthlike 22.6 48 33
Thermic 92.3 81 48
Aquatic 45.7 40 43
Earthlike 37.6 9 69
Thermic 63.3 95 54
Earthlike 30.5 66 31
Iced 23.9 45 51
Earthlike 88 39 16
Thermic 56.5 70 42
Radiated 1.6 40 14
Aquatic 63.8 50 31
Aquatic 70.9 9 34
Radiated 15.2 9 58
Iced 32.1 9 47
Thermic 95.4 97 39
Thermic 78.2 82 48
Earthlike 33 16 86
Thermic 59.6 11 41
Iced 62.7 53 35
Thermic 90.8 57 89
Iced 90 1 9
Earthlike 23.7 34 89
Thermic 49 58 76
Thermic 70.6 44 4
Thermic 97.7 1 24
Aquatic 25.9 9 7
Thermic 77.4 14 66
Thermic 44.2 87 73
Earthlike 79.5 30 40
Thermic 36.6 88 76
Radiated 16.9 49 85
Thermic 68.3 80 26
Aquatic 37.3 80 31
Radiated 20.8 92 33
Earthlike 49.7 41 39
Radiated 2.1 58 74
Aquatic 30.4 94 10
Thermic 95.7 36 21
Earthlike 85.5 28 37
Radiated 35.8 71 56
Thermic 58.3 74 56
Thermic 73.7 78 71
Thermic 60.9 33 63
Earthlike 23.3 11 99
Thermic 65.7 57 65
Earthlike 88.8 25 54
Thermic 71.4 58 18
Radiated 56.3 71 9
Thermic 57.1 56 90
Aquatic 7.7 48 6
