dest time weight speed
Stores 16.52 24.6948 75.5
House 17.87 13.7407 79.6
University 10.07 137.4435 77.2
House 12.14 19.9453 79.1
House 12.76 22.724 80.1
Bryan 7.51 33.0582 79.1
House 10.55 19.9689 79.3
University 13.4 30.4945 77.4
Outside 16.76 18.4784 79.4
Stores 16.6 57.057 82.9
House 8.75 37.7828 76.4
Stores 7.57 20.2225 82.4
Bryan 11.16 55.8776 76.5
Stores 9.75 30.191 80.3
Outside 15.56 67.0943 79.1
Outside 16.73 34.3243 75.1
House 6.84 5.8444 75.3
Bryan 7.02 21.541 81.8
House 8.14 16.3135 75.3
House 10.66 32.9537 79.3
Stores 14.01 24.8799 77.1
House 7.69 36.9476 74.9
Bryan 14.16 31.7502 80.6
Outside 12.65 40.7256 78.4
House 11.17 19.2163 73.4
Bryan 17.78 32.5187 79.2
Bryan 7.84 6.6495 80.1
Stores 9.92 102.3988 79
House 8.67 2.9002 75.4
Stores 11.16 4.8814 80.2
University 9.88 59.1145 80.9
Stores 8.07 98.5989 80.6
House 9.2 30.8671 77.1
House 11.66 50.525 74.9
House 11.8 42.0266 81.9
Bryan 6.9 34.1973 81.7
Outside 12.34 64.7232 73.3
House 16.34 26.0412 76.7
Bryan 11.51 11.1908 76.5
House 6.35 18.7078 74.2
Outside 12.9 139.1096 79.2
Bryan 10.88 43.6577 79.8
Stores 13.75 119.2907 75.8
House 8.83 8.8029 78.5
University 14.41 148.577 83.9
House 6.48 11.9412 80.2
House 13.65 74.6859 77.4
Bryan 15.55 66.8334 80.3
Outside 15.83 164.3511 74.4
Stores 14.29 39.8707 77.2
Bryan 11.79 132.6885 79.2
Outside 16.93 57.4549 76.1
Bryan 7.58 55.1211 80.2
Stores 16.33 37.0555 75
Bryan 10.87 24.7149 79.7
House 12.04 57.1412 71.2
Bryan 8.02 8.9838 79.7
House 17.86 21.5704 76.3
Outside 14.29 33.9781 74.2
House 6.44 19.9833 76.4
House 8.49 32.9145 77.9
Bryan 7.13 81.3847 79.8
Bryan 16.51 25.1742 81.4
House 7.66 21.7608 82.9
House 6.93 72.0484 75.8
University 15.73 54.7743 72
Outside 11.26 68.7325 73.6
Outside 12.32 134.733 74.5
House 10.39 24.0299 76.9
University 11.85 95.2622 78.6
Stores 16.31 25.0691 78.9
University 14.21 71.3517 74.1
House 7.9 40.1529 74.5
Outside 16.46 85.8413 80.6
Bryan 9.28 52.5202 79.8
Stores 14.8 16.6919 74.3
House 12.8 6.5557 74.8
Bryan 15.2 45.1829 77.1
Bryan 9.01 37.4021 80.3
House 10.03 5.067 77.4
Stores 16.45 18.6351 79.4
House 9.68 9.7403 75.2
House 7.63 2.6479 79.2
House 11.36 23.3263 77.1
Bryan 6.18 76.7338 82.5
University 16.91 13.9109 76.7
House 10.45 11.3677 76.6
Outside 16.82 8.0607 73.9
Bryan 8.29 74.2585 76.5
House 11.25 12.4577 74.9
House 8.43 13.9148 80.6
House 12.73 5.3777 68.8
House 9.17 87.7686 80.6
Outside 6.11 135.1219 79.3
Stores 10.93 30.3075 79.8
House 13.99 101.6891 75.3
House 8.47 74.6844 74.2
Outside 16.05 20.6027 80.1
Bryan 12.99 64.3678 80.3
Outside 9.01 131.1628 75.8
Bryan 7.51 51.8771 79.2
House 13.4 0.3461 80.3
Bryan 16.32 40.0328 83.6
University 9.57 74.26 78.1
House 8.26 39.2975 74.4
House 6.24 17.8248 74.9
Bryan 6.32 111.2479 78.8
Stores 13.81 27.8341 79.8
House 10.83 82.4846 75.4
Stores 12.89 95.2667 75.6
House 8.4 26.4427 76.6
Stores 14.67 26.9322 78.8
Stores 6.36 42.9587 83.7
House 10.9 43.4698 74.8
Outside 12.85 93.413 74
Stores 7.28 40.5921 84.3
Bryan 8.93 45.9987 79.8
Bryan 7.06 35.1738 80.7
Outside 14.23 88.3888 74.7
Outside 14.36 30.3409 76.8
Bryan 9.24 31.9229 80.8
Bryan 14.98 52.7565 79.1
House 9.72 24.6626 80.2
House 13.06 6.6521 73.8
House 13.91 11.1135 79.2
House 14.89 15.5579 83.6
Outside 17.91 8.5143 82.1
Stores 9.23 39.3418 78.1
Bryan 6.69 96.7959 80.4
Outside 16.61 61.6547 77.3
Outside 9.5 94.8594 78.3
Stores 10.3 16.3176 80.9
Outside 17.19 21.9497 69.4
Stores 9.91 44.1555 77
Stores 16.53 34.2414 77.5
Bryan 7.36 9.794 78.8
Outside 13 25.3039 82.5
House 17.25 14.4661 74.7
Bryan 9.52 60.5804 78.2
House 15.56 21.4261 71.5
University 14.88 7.4145 77.3
Bryan 11.59 14.4441 75.9
Outside 17.85 72.8483 75.9
House 17.72 58.8013 74.1
University 9.11 146.0604 79.4
University 11.91 58.3797 76.5
Stores 13.38 84.6166 76.9
University 15.54 63.3827 77.8
Outside 12.93 134.7671 79.6
House 13.97 24.2663 70.1
Outside 15.23 33.3149 74.7
House 13.08 28.3963 76.6
House 13.44 10.3893 72.6
Stores 11.02 35.8096 78.9
House 16.01 8.2309 76.3
House 15.45 14.8379 70
Outside 16.59 76.1534 81.7
House 10.07 41.9475 73
Outside 16.9 48.5496 79.2
Stores 13.7 5.2888 81.1
Bryan 7.37 53.7125 80.6
House 13.92 9.446 77.2
Stores 11.47 40.6321 80.8
Outside 16.41 7.1308 80.3
House 6.07 28.6903 76.4
Outside 10.78 86.8726 73
Stores 10.52 77.595 75.8
Bryan 14.81 29.7404 77.7
Outside 12.05 36.2875 77.8
Stores 10.94 30.0692 78.5
Bryan 13.17 31.7752 77.4
House 13.24 8.9966 79.9
House 9.73 19.005 78.9
University 16.52 16.6522 84.4
Bryan 10.56 36.2966 79.2
Bryan 10.68 1.628 79.3
Bryan 13.23 29.2 77.5
House 13.76 9.5925 76.9
House 6.39 30.6283 77.6
University 15.91 95.7989 82.2
University 14.63 22.9097 81.8
University 17.89 3.8317 75.9
House 13.38 31.7267 74
Outside 11.25 84.5395 79.4
House 6.03 38.0656 80.9
Outside 12.81 15.0678 80.7
House 8.4 46.763 80.6
Bryan 10.89 35.5609 77.5
Outside 11.61 69.1956 78.9
House 15.38 83.8062 77
Bryan 7.95 36.4348 78.1
Bryan 13.59 26.2198 78.3
Bryan 6.77 183.9755 78.7
House 9.41 51.8627 73.6
Stores 17.93 68.3528 75.3
Outside 10.31 113.1909 76.9
House 16.61 56.476 78.8
Outside 13.5 63.2964 73.9
House 8.94 1.62 73.9
Outside 16.61 25.2063 75.7
Bryan 8.71 26.8595 78
Outside 11.7 52.9402 76.7
House 12.71 23.6091 76.7
House 8.04 21.7401 78.8
Outside 15.37 24.7241 74.8
Outside 17.01 57.4733 74.7
Outside 12.97 31.1716 79.7
Bryan 17.09 84.0566 76.6
Outside 17.19 36.8154 79.8
House 6.16 25.1402 79.6
Stores 15 39.737 77.6
Bryan 10.87 10.3962 77.2
Bryan 7.59 19.6908 75.7
Bryan 7.79 55.9759 78.4
House 7.9 2.7439 71.8
House 6.7 50.8219 75.9
House 13.1 18.2197 73.2
House 12.21 7.6393 75.8
Bryan 10.84 14.0533 82.3
House 10.04 47.0385 75.9
University 15.65 33.9535 78.7
House 10.98 2.8958 76.3
House 11.56 7.7739 75.3
Outside 13.8 91.1176 77.3
University 14.45 43.949 83
House 14.71 8.5244 87.2
Bryan 6.15 5.172 75.8
Outside 16.14 178.1691 76.8
House 12.25 22.2757 74.9
House 7.69 18.4022 78.1
Outside 16.8 141.2939 77.1
House 10.17 41.9853 74.5
House 9.96 66.2465 77.8
House 14.21 3.5146 74.6
Bryan 11.82 109.7948 81.7
Stores 10.75 23.6112 80.2
Stores 14.97 34.2462 77.7
University 14.95 21.685 80
University 17 53.1015 76
Bryan 10.3 87.7052 77.2
House 11.67 16.757 78.5
House 11.74 46.4071 75.6
Stores 14.93 58.6541 76.3
House 8.17 20.588 76.4
Bryan 12.5 9.1369 81.1
Bryan 11.76 11.3476 79.8
House 10.5 8.4666 74.5
House 9.19 59.2206 77.7
House 10.69 11.8026 75.1
Outside 17.29 107.2359 89.3
House 14.82 24.7724 75.5
House 15.11 76.0378 82.5
Stores 8.68 67.8813 75.6
House 11.46 31.3658 80.6
House 9.42 34.5522 77.9
House 10.41 11.428 73.3
Stores 15.34 61.1277 81
Stores 16.56 33.5802 76.7
House 8.93 17.4882 76.7
Bryan 7.56 85.6863 77.1
University 15.39 166.1725 76.4
University 16.07 23.9207 74.9
House 12.87 34.6547 75.3
Stores 16.22 19.2219 82.7
Stores 15 41.2909 81.7
House 10.57 41.3096 74.4
University 15.04 121.8593 80.2
House 9.54 49.5076 75.2
University 17.49 10.0126 78
House 9.75 94.6343 81.2
Bryan 6.34 11.6533 80.3
House 9.43 60.6938 75.1
Outside 11.38 98.7569 77.9
University 13.48 8.5613 79.9
Outside 16.05 48.6506 77.7
Stores 9.21 37.3706 78.5
House 16.74 60.189 80.9
Outside 16.6 101.2743 77.3
House 14.53 15.2099 75.5
University 15.6 29.3809 74.3
Outside 17.29 4.3684 78.8
House 13.05 69.2549 78.6
Bryan 11.65 9.5852 81.3
House 7.68 5.6273 77.7
Bryan 15.44 23.4685 78.4
Outside 11.26 79.5227 78.4
Bryan 7.46 36.3687 76.7
Stores 9.43 37.8645 80.2
House 14.49 23.4004 73.9
University 17.86 68.8744 71.9
House 9.63 7.6125 75.5
House 10.81 27.9228 83.8
University 15.43 15.5105 78.5
House 6.18 29.128 76.1
University 13.71 75.2887 74.4
House 13.28 73.6554 75.2
University 11.21 53.2055 76.5
House 11.61 7.1649 75
Bryan 12.46 20.998 76.5
House 6.46 11.2899 87.6
Stores 12.89 25.638 81.2
Stores 15.17 48.1962 77.4
House 11.65 65.1873 76.6
Stores 16.39 73.3478 73.9
House 7.91 14.5107 71.5
House 11.06 31.5656 73.7
House 12.68 89.6793 79.6
Bryan 13.43 60.8739 75.6
Stores 17.79 56.5704 76.6
Stores 17.67 30.1216 75.3
Bryan 9.44 38.0326 77.2
Stores 13.3 79.5454 79.3
Stores 12.03 57.1994 74.9
University 17.52 37.2793 78.6
Outside 15.55 21.4035 76.3
Bryan 9.71 54.901 81.3
House 13.62 11.8156 74
Bryan 11.5 32.4043 79.2
House 17.95 31.8718 76.4
Bryan 10.49 7.494 76.3
Bryan 14.85 65.9303 79
House 9.26 102.0092 80.5
University 15.38 19.2158 76
House 9.1 20.0934 76.6
House 16.33 68.5586 75.1
House 11.8 25.8846 74.7
Outside 16.19 32.4425 77.6
House 10.25 11.2278 76.2
Bryan 10.29 51.3208 75.7
House 7.29 68.6851 77.4
Outside 9.25 179.6324 80.3
House 15.5 26.5142 80.4
Bryan 10.24 86.8831 78.6
House 7.9 31.5972 78.9
Stores 16.47 39.0352 77.7
Bryan 11.31 20.7593 79.6
House 9.04 72.2268 77
House 15.81 9.9959 75.9
House 14.31 12.0439 75.8
House 12.96 23.6568 74.4
House 15.06 83.243 80.2
House 10.27 23.0351 76.3
Stores 13.53 47.4597 82.4
Bryan 16.11 13.9026 74.5
Bryan 10.01 14.3866 79.1
Stores 17.8 87.5678 76.2
University 16.46 32.6246 79.2
Bryan 10.84 3.0685 74.3
House 7.18 12.1993 80.9
Bryan 6.08 74.255 79.1
Bryan 9.09 76.0201 83.1
Outside 13.11 39.5514 79.2
Stores 8.09 51.4283 79.5
Stores 8.57 84.1417 78.8
House 8.88 63.2454 75.2
House 8.93 25.7275 75
House 6.07 15.6615 73.8
Outside 10.82 213.7893 73.3
Stores 14.42 11.8981 81
House 12.33 10.61 74.1
House 14.92 2.0817 74.2
Bryan 8.32 25.519 83.2
House 16.27 21.0977 76.6
House 7.3 29.3764 77.6
Stores 11.83 117.8214 71.4
House 17.88 10.6445 75.3
Stores 6.89 58.1521 80.1
Stores 11.27 42.2309 77.9
House 11.95 8.1869 74.8
Outside 11.89 125.5902 77.3
Bryan 12.03 13.2127 82.8
Bryan 6.01 14.9457 79.1
Outside 14.03 56.7031 73.9
House 9.65 21.8571 80.6
Stores 10.64 21.0577 82.4
Stores 9.08 212.1984 75.2
University 13.05 50.3927 84.4
Stores 17.03 21.41 75.5
Bryan 10.69 20.8487 77.4
Bryan 6.34 16.4911 78.6
University 17.37 80.9055 76.3
Stores 14.55 152.7589 75.7
House 17.71 66.2601 76.7
University 12.15 42.5493 77.6
Outside 17.42 37.1736 78.4
House 7.8 18.2856 71.4
House 14.11 10.0068 71.5
University 17.24 23.305 77.5
Stores 13.72 18.8705 75.9
House 8.77 66.2063 80.4
House 7.82 41.6704 76
House 13.71 112.4961 83.8
Stores 9.27 34.3725 80.5
House 13.03 38.545 76.6
University 13.54 56.177 76.2
Outside 14.19 36.1711 75.2
House 7.36 30.4632 77.5
House 11.13 17.3745 83.8
House 17.71 54.2126 80.5
Outside 16.27 41.1591 82.9
University 15.06 22.241 74.9
Stores 17.49 0.8726 80.1
Outside 13.65 163.6599 80.3
House 6.52 6.0016 75.5
House 7.29 12.3376 74.4
Outside 12.88 25.4665 79.4
University 13.33 84.8321 75.9
House 8.4 20.5948 79
University 14.22 47.495 72.6
House 7.4 16.8478 78.1
Outside 17.1 14.1485 77.7
University 17.42 104.822 78.3
Bryan 6.93 24.3036 86
Outside 15.05 111.1952 75.5
Bryan 7.85 88.4897 78.3
University 11.1 61.3077 77.9
Stores 14.29 55.9377 83.1
Bryan 12.3 14.4301 76.7
Bryan 14.92 88.4687 81.4
University 11.76 45.3099 83
Bryan 6.8 78.9478 76
Outside 10.92 38.6989 81.8
Bryan 8.29 57.3099 76.7
House 15.06 34.3978 73.5
Stores 12.21 41.1655 77.9
Outside 17.81 27.9806 73.5
Bryan 7.7 46.7203 79.1
University 16.7 20.2101 80
Stores 13.59 125.7352 80.4
Stores 6.62 108.3531 79.4
University 12.41 128.3671 74.2
House 14.64 58.4327 82.8
Outside 11.26 70.2703 73.3
Outside 17.82 13.2812 76.2
House 12.22 46.2171 80.2
House 14.46 65.8653 81.3
University 13.97 103.1241 80.3
Stores 15.23 33.4073 79
University 15.88 30.0656 79.8
Outside 17.95 28.8345 68.9
University 17.59 13.1138 83
Stores 15.2 34.0129 83
Stores 17.75 51.7093 73
Bryan 7.61 66.9949 78.5
Bryan 6.72 68.8069 75.7
University 17.64 27.7694 76.8
University 17.44 28.4199 77.8
Bryan 9.63 95.159 78.5
House 11.09 8.1595 76.2
House 7.7 9.4918 78.2
House 13.77 5.1673 75.7
Outside 16.66 43.4297 75.1
House 11.08 19.709 77.8
Stores 15.91 76.331 83.4
House 12.02 20.4816 72.5
House 9.76 4.5761 79.1
Bryan 8.58 25.7705 78
Outside 11.47 58.8106 83
House 13.62 28.1778 76.7
Outside 14.33 1.2876 82.6
University 17.16 47.3457 76.8
University 14 41.7931 77.3
House 14.66 8.9239 78
Stores 15.65 34.5634 78.6
Bryan 10.5 91.2996 80.3
House 11.5 20.0899 75.6
Outside 14.91 28.4667 78.6
Stores 14.21 14.5069 80.6
House 7.53 1.9533 77.1
University 13.83 42.0194 84.3
Bryan 17.87 85.4362 79.3
University 10.12 83.117 81.6
University 15.44 26.5937 79
Bryan 8.89 39.4122 78.3
University 15.78 53.0961 80.1
University 12.56 40.2168 78.6
Stores 12.43 116.3627 79.1
House 9.41 40.3886 77
University 16.26 21.3457 77.5
House 8.3 30.3607 77.1
University 13.55 11.7514 79.5
Outside 15.47 53.0597 83.6
Outside 14.23 20.1196 79.8
Bryan 6.74 21.4353 79.7
Bryan 11.56 19.8095 77.1
Outside 16.91 5.1995 75.3
House 7.59 18.9567 80
House 13.96 12.7646 75.9
Stores 16.87 77.297 78.8
House 10.82 33.9013 75.5
University 16.22 17.2132 79.6
House 10.72 20.4706 74.5
Outside 14.43 37.6743 79.6
Outside 15.08 5.6089 76.4
House 8.52 47.8278 79.6
University 14.1 26.8135 80.5
House 9.54 13.3096 78.5
Bryan 7.8 17.1279 83.9
University 15.23 53.8148 75.9
House 10.05 237.3295 78.5
Stores 17.42 61.7609 77.4
Bryan 6.29 74.6292 80.6
Outside 13.51 22.0814 78.7
Bryan 9.07 83.7343 80
Outside 9.78 74.8083 77.4
Stores 17.19 55.7052 81.3
House 10.14 10.0392 79.5
House 11.17 113.966 79.1
Bryan 7.97 9.9543 78
Outside 9.71 94.8037 76.8
House 9.11 27.1412 76.5
University 12.33 41.745 75.9
House 8.03 55.8083 72.6
House 12.55 45.6097 74.7
Bryan 10.05 17.1768 83.3
Stores 13.85 18.8784 79.9
Stores 11.48 67.8163 80
Stores 13.78 20.0797 75.5
Stores 16.85 97.6153 71.9
Bryan 17.91 22.061 75.4
House 8.82 8.8962 78.3
House 15.04 6.6238 76
House 6.94 18.8167 79.9
House 6.81 17.6219 77
House 17.75 28.0931 80.5
House 8.81 4.7735 79.1
House 13.91 29.9566 78.4
Stores 11.7 99.7036 83.5
House 13.64 55.4324 83.1
House 10.76 8.4046 76.6
Stores 11.25 33.9974 79.9
Bryan 6.72 59.8601 82
University 17.74 55.7064 77.3
University 16.18 14.6929 78.4
Bryan 6.52 46.587 78.5
House 8.36 48.119 75.3
House 12.93 9.059 76.3
Bryan 10.09 17.3716 75.4
House 9.92 22.2276 76.9
House 6.37 186.2936 83.5
Bryan 14.53 43.1853 77.5
Stores 13.91 37.655 78.8
House 12.65 28.8236 76.6
House 7.84 47.0332 76.3
House 8.64 50.9881 75.8
Outside 15.23 15.6764 78.4
Bryan 10.94 45.3529 77.7
University 14.6 30.0079 76.7
Outside 15.46 5.4924 79
Outside 17.68 21.6593 83.4
House 14.48 123.6577 82.4
Bryan 9.25 9.5708 78.6
House 10.49 23.7111 78.6
House 8.43 7.5547 74.4
House 7.81 6.7755 76.9
House 7.93 7.6263 86.8
House 16.81 93.4675 78.5
House 8.43 25.4886 74.4
Stores 16.06 32.318 79.6
Stores 16.69 32.3317 77.8
House 7.45 33.6877 78.9
Outside 8.69 86.9664 80.5
House 9.92 24.9852 75.3
House 13.69 8.4045 74.4
House 15.59 28.903 77.9
Bryan 17.33 14.624 80.9
House 8.26 39.8044 80.9
University 11.86 198.0226 76.1
Outside 14.9 31.9455 79.3
House 8.5 24.5747 78
Stores 7.08 87.8357 78.8
House 15.29 57.1669 77.5
University 15.44 90.2484 77.7
University 17.39 66.7858 79.6
Stores 11.62 11.3198 80.8
House 11.61 23.8113 76.8
Bryan 8.59 35.6536 79.4
Stores 15.2 124.3404 73.8
Bryan 16.64 26.2977 77.4
Outside 14.81 81.0748 75.8
House 10.04 39.4499 81.1
House 8.5 14.0684 78.7
House 6.52 52.4871 74.5
Bryan 12.71 87.8488 77.1
University 16.78 54.2272 73.4
Stores 15.97 28.0333 79.6
Bryan 15.91 10.2125 80.9
Outside 8.45 98.4379 79.1
Bryan 6.67 97.7988 76
Outside 16.53 116.5112 83.5
Outside 10.61 59.9673 77.6
House 6.24 19.2189 74.9
Stores 10.87 11.0199 80.6
Stores 8.64 40.6852 85
House 13.04 28.02 77.2
Bryan 9.96 50.9993 76.7
Bryan 11.12 76.228 82.4
Outside 16.44 23.1349 78.8
University 12.58 47.6699 73.2
Stores 17.69 62.0507 78.4
University 16.3 77.56 70.8
Outside 11.24 73.66 76
Bryan 7.59 42.7187 81.6
House 15.33 89.8509 78
University 15.47 22.3675 78.6
Bryan 16 47.7816 78.2
Bryan 8.43 56.4718 79.9
Outside 14.49 58.4959 77.1
Bryan 16.8 8.8046 76.2
University 14.7 5.793 79.8
House 7.46 40.6678 75.3
House 7.88 5.1083 77.4
Outside 13.31 29.7601 80.1
Bryan 6.15 37.2411 77.3
House 6.13 19.7883 77
Bryan 9.79 24.7521 85.1
Bryan 7.65 74.6568 73.7
House 13.98 2.7816 75.9
University 16.43 50.4968 80.1
Bryan 9.88 56.0609 82.3
House 9.25 1.4111 74.7
Bryan 11.39 140.3702 77.3
House 16.65 9.3761 69.9
University 15.21 8.4053 80.2
House 10.24 61.2306 74.3
Stores 15.04 75.1948 84.9
University 16.8 6.1578 80.3
House 12.67 62.3423 79.1
Bryan 12.69 23.3426 75.9
Bryan 17.29 10.0097 80.5
House 11.94 18.2514 72.5
House 7.68 76.0492 74.6
Bryan 6.02 39.2848 78.8
Stores 14.55 30.8046 79.5
House 10.65 4.8801 76.1
University 16.01 41.5181 77.3
Stores 16.92 26.3917 78.1
Bryan 7.29 45.0238 73.9
House 17.07 21.561 81.7
House 16.45 22.6401 83
Outside 14.18 20.1754 82.9
University 10.56 48.5981 84.7
Outside 15.2 40.5124 79.1
Bryan 10.65 116.8299 80.4
Bryan 6.04 53.7055 78.2
Outside 13.2 17.3763 77.1
Bryan 11.74 25.1895 79
House 10.37 8.0046 73.1
University 17.72 26.8238 76.1
House 11.86 32.4255 77.8
Outside 16.08 70.2241 76.7
Bryan 10.59 3.872 77
Stores 12.29 29.1667 79.9
Outside 14.97 28.0259 79.8
Bryan 6.56 19.1465 82.4
Bryan 11.86 20.8055 77.2
Bryan 7.87 15.0687 77.8
Outside 15.76 53.5611 75.1
Stores 15.82 19.6033 79
University 15.02 7.6718 80
University 16.3 82.4822 78.7
House 17.43 47.2579 78.2
House 9.47 86.3244 73.9
House 13.36 30.5456 79.9
Bryan 16.89 17.614 79.7
University 14.93 70.9718 77.1
University 14.4 6.0996 83.5
Outside 12.86 57.1425 72.4
House 8.35 62.7329 81.5
Stores 11.62 92.385 80.6
University 16.73 52.9512 79.1
University 14.27 56.0458 78.3
Bryan 6.7 6.7439 77.7
House 13.65 18.6023 75
House 15.5 52.7725 81.1
House 12.18 49.4336 75.4
Outside 10.45 125.8978 72.7
Outside 14.02 7.7716 81.2
Bryan 13.64 13.229 76.3
House 11.47 5.0182 81.6
House 16.03 8.048 70.7
University 14.41 41.738 79
University 17.56 1.3747 80.8
Outside 15.25 11.5523 80
House 7.13 7.9323 81.5
University 17.69 33.7564 73.8
Stores 9.1 25.1165 82.5
Bryan 13.26 14.8938 81.2
University 17.76 33.8335 74.5
Outside 17.81 10.3754 69.5
House 7.58 12.7833 78.9
Bryan 13.39 8.7557 77.5
University 15.17 92.5298 77.7
Outside 15.76 122.8483 77.3
Bryan 10.63 26.2616 78.7
Bryan 11.44 39.7611 75.8
Stores 15.03 67.4615 73.6
House 8.53 26.5818 76.7
House 7.98 49.0643 74.8
House 10.78 10.3737 75.5
House 12.21 25.7294 69.7
Outside 14.34 50.8395 72.9
Outside 14.28 54.2037 78.5
House 10.12 5.265 77.2
Bryan 8.99 31.2751 81.5
Bryan 17.07 95.7631 75.1
House 12.42 28.7213 73.8
House 7.32 16.8849 82.5
University 12.38 52.9059 76
Outside 12.97 49.7419 76.7
Bryan 10.78 46.1427 79.9
Outside 15.45 33.6243 81.6
House 11.98 5.2755 76.9
House 12.36 29.9397 79
House 7.85 19.15 72.3
House 13.19 14.7792 76.9
Outside 16.32 0.31 80.8
Stores 7.06 15.9401 83.7
University 15.32 37.4926 70
Bryan 7.35 70.8127 76.3
Outside 15.18 14.0853 74.5
University 15.64 7.3642 80.6
Stores 8.16 39.714 81.7
House 11.34 13.2474 76.1
Bryan 11.15 39.7838 78.3
Outside 17.57 30.7553 78.3
University 14.29 117.9218 75.1
Bryan 6.74 36.5377 79.5
Outside 16.88 35.7381 80.4
Bryan 11.44 8.0392 81.1
House 13.34 37.566 73.6
University 15.82 13.5214 79
House 8.41 25.1194 74.8
Bryan 10.95 43.605 77.1
Stores 15.58 87.7077 72.9
House 6.18 51.1113 75.2
House 12.52 27.4623 74.5
Bryan 11.03 9.9896 78.6
House 6.46 13.5119 77
Outside 15.31 224.0642 71.9
Bryan 11.61 28.5424 80
Outside 13.78 177.8559 78
Outside 15.09 28.8058 76.5
Bryan 9.76 100.2151 75.8
Bryan 12.3 22.4424 78.2
Stores 7.12 49.2081 80.7
University 15.37 46.8876 81.9
House 11.99 8.617 76.2
House 6.94 80.6961 70.2
Outside 17.13 34.682 76.1
Stores 6.48 40.186 78.1
House 7.32 5.1934 74.7
House 7.39 50.464 74
University 14.4 39.1747 76.9
House 6.23 28.4124 81.5
House 13.04 1.9909 78.6
House 6.69 21.5672 78.9
Stores 9.4 67.1126 77.3
House 10.93 37.0626 75.2
Stores 10.44 33.4563 80.2
House 7.2 11.5342 79.1
Outside 14.16 84.3441 85
House 6.57 47.8908 73
House 10.16 104.7695 79.6
Bryan 10.94 88.4462 80.2
Bryan 12.32 106.2684 84
University 16.36 33.7237 71.8
Outside 14.85 14.1909 80.2
Outside 11.87 57.5523 73
Outside 15.06 76.4196 74.3
House 14.06 8.5239 80.5
Stores 14.65 11.3161 78.6
Bryan 14.61 78.8499 74.8
Bryan 16.62 42.9247 79
Bryan 7.51 15.3817 77
Bryan 7.85 14.4094 76.7
Stores 13.1 27.5452 80.9
Stores 14.7 66.8424 76.9
House 10.89 13.7088 78.2
Stores 14.27 43.6962 80.2
University 16.21 26.1986 75.5
House 8.02 76.9 72.7
Bryan 10.34 16.9436 80.7
Bryan 7.06 29.7262 80
House 11.2 42.8092 78.7
Stores 16.58 78.5608 75.7
House 8.91 122.4959 75.3
Bryan 12.35 7.2466 81.8
Stores 11.3 59.7783 78.3
Bryan 6.82 66.762 79.7
House 17.03 39.1699 75.3
Bryan 15.89 37.1636 75.3
Outside 12.34 73.5811 76.5
House 10.85 10.9488 77.9
University 10.1 84.2015 76.7
Outside 17.3 40.6254 83.9
House 12.12 6.0734 77.9
Bryan 8.49 31.0675 75.5
House 8.51 67.8636 85.5
University 12.04 56.0335 77.7
University 14.23 16.1269 83.2
Bryan 10.65 30.1007 75.4
House 6.1 17.2483 74
Outside 16.8 18.5519 79.2
University 15.96 31.6653 74.2
Bryan 17.12 9.0347 80.9
House 7.42 35.7505 78.8
House 7.87 5.8591 82.4
Bryan 15.72 67.44 80.4
Stores 11.09 68.4252 83.4
House 6.31 30.514 81.3
Bryan 8.39 22.807 80.4
House 17.79 47.0247 77.4
House 9.77 78.674 83.9
Stores 15.03 62.0146 82.3
Bryan 10.39 25.1293 81.4
Bryan 12.46 6.3145 79.6
Outside 13.04 50.743 77.4
House 8.2 3.4965 77.1
House 10.8 138.9967 74.1
House 8.54 22.1449 77.3
University 16.96 47.3979 76.8
House 9.63 31.0438 77
House 6.85 39.4943 77.5
House 6.4 12.2052 75.8
House 8.93 20.7422 72.7
House 7.46 16.0233 74.1
House 11.98 27.3371 76.3
Bryan 10.19 2.8406 80
Bryan 10.56 28.0952 77.9
University 17.69 27.3109 84.7
House 17.05 14.8802 78.5
Bryan 7.9 6.8226 80
University 13.59 106.2324 82.2
Stores 13.83 19.89 80.7
Outside 14.33 56.1192 77
House 11.94 12.5536 72.5
Bryan 6.82 37.719 79.8
Stores 17.74 26.1973 82.8
House 12.81 43.2092 82.3
Bryan 10.84 328.2538 75.6
House 6.01 31.7032 74.1
House 8.39 6.1725 74.2
House 10.48 30.389 75.2
House 17.94 17.8661 78.7
Outside 15.21 100.9602 76.1
University 14.2 42.5253 79.8
House 9.52 7.1351 75
House 11.27 21.2703 73.2
Bryan 11.89 8.4433 78.5
Outside 14.45 358.8652 82.8
House 13.99 9.9199 79
House 11.82 64.3309 79.9
Outside 17.61 32.9102 75.3
Outside 14.58 64.6972 74.6
Stores 10.1 34.374 77.4
House 7.66 18.5275 77.7
Bryan 16.93 3.908 78.2
Bryan 10.7 46.494 78.7
Stores 10.44 17.5459 78.4
Bryan 8.55 87.5147 76.5
Bryan 6.23 10.2577 81.6
House 11.43 17.5395 77.8
Bryan 10.02 71.9312 79.4
House 10.15 1.1058 79.5
House 7.92 60.8079 70.8
Stores 12.81 125.2576 76.6
University 14.21 70.0904 78.6
House 14.42 76.4066 76.9
Bryan 15.34 23.4596 83.7
Bryan 8.35 122.3379 77
House 6.63 73.2851 74.6
Outside 16.63 81.1995 74.2
House 17.58 17.7059 81.5
Bryan 13.17 87.6262 78.4
University 16.94 11.3072 78.6
Outside 17.96 35.163 77.4
House 17.92 55.0069 79
University 14.06 46.4227 76.4
