contains weight volume color
valuable 100.6 2.27 white
dangerous 61.9 0.75 red
dangerous 98.8 12.78 brown
junk 30.5 1.43 brown
dangerous 13.2 1.37 other
junk 17.1 2.55 red
money 44.7 13.73 brown
dangerous 26.6 9.66 other
junk 4.6 1.33 white
valuable 72.4 3.91 brown
valuable 46.9 7.14 red
junk 23.7 4.35 red
junk 55.3 1.01 white
money 116.2 14 other
junk 80.8 2.71 brown
money 53.5 13.19 red
dangerous 35.8 2.77 other
money 25.1 20.65 white
junk 4.4 0.99 white
junk 40 8.68 white
valuable 53 8.64 other
dangerous 62.1 2.19 other
junk 4.8 2.42 red
valuable 70.2 4.65 brown
dangerous 50.4 13.89 red
money 98.6 15.01 brown
junk 26.3 9.86 red
money 99.1 3.13 red
valuable 76.2 8.3 other
valuable 74.5 2.15 other
dangerous 66.5 9.35 white
valuable 37.6 6.06 other
junk 46.9 3.95 white
valuable 94.5 7.46 other
junk 49.3 4.68 white
junk 3 5.14 red
dangerous 111.8 1.47 other
valuable 103.1 4.2 brown
junk 30.3 3.79 brown
junk 12.1 10.54 white
junk 81 27.88 red
junk 51.4 4.26 white
money 85.3 4.09 white
junk 8.8 13.59 white
valuable 32 9.39 white
dangerous 58 9.83 white
money 91.7 11.62 other
money 17.6 21.93 white
valuable 95.5 13.94 other
valuable 109.1 2.99 white
money 29.5 11.17 red
junk 106.3 1.35 other
junk 51 2.77 brown
junk 45.1 2.22 white
money 57.4 7.21 brown
junk 8.3 0.73 red
junk 54.7 4.79 red
dangerous 54.5 5.36 red
dangerous 58.2 14.31 brown
junk 11.9 5.35 brown
valuable 34.3 18.05 white
dangerous 18.2 2.7 other
money 89.5 1.49 red
junk 68.7 1.35 brown
junk 41.8 3.16 other
junk 30.7 6.29 other
junk 37.6 1.27 brown
money 92.9 3.13 white
junk 26.5 4 brown
junk 28 4.04 brown
junk 21 3.2 red
junk 48.6 8.71 brown
money 35.9 13.4 white
valuable 86.4 16.15 white
junk 55.7 2.49 red
dangerous 71.9 0.47 other
valuable 112 5.16 white
junk 32.7 12.67 other
junk 34.2 12.66 other
valuable 114.1 6.1 white
dangerous 115 6 red
valuable 21.9 13.16 brown
valuable 86.9 3.37 white
money 33.9 17.52 brown
junk 13.8 0.61 brown
junk 100.9 3.62 other
junk 46.6 2.36 brown
junk 21.2 5.61 brown
valuable 88.8 7.34 brown
junk 46.1 1.81 other
junk 13.3 6.05 white
junk 48.1 2.37 brown
dangerous 20.7 10.97 other
valuable 77.3 10.42 brown
dangerous 72.5 3.51 other
junk 41.8 6.16 brown
junk 28.5 2.58 other
dangerous 61 1.61 other
junk 2 1.87 other
money 117.8 1.2 brown
junk 63.2 6.17 white
money 81.9 6.33 red
valuable 82.4 10.42 red
valuable 106.2 5.31 white
valuable 117.4 4.45 brown
junk 47.3 2.87 brown
money 79.8 2.82 other
junk 6.8 0.56 white
junk 6.3 26.98 other
junk 35 7.89 brown
junk 47.6 1 brown
dangerous 22.3 3.69 other
junk 22.1 5.17 other
dangerous 98.6 4.11 red
money 94.9 7.67 brown
junk 14 6.78 brown
money 50 10.94 white
junk 10.7 0.61 red
junk 60.2 2.29 brown
dangerous 81.1 8.85 brown
junk 22.9 7.06 white
dangerous 113.2 1.34 other
junk 60.8 5.51 brown
dangerous 86.4 19.14 white
junk 48.7 6.09 brown
junk 45.9 3.91 white
junk 19.1 3.04 red
money 76.4 7.93 white
dangerous 68.9 2.1 other
valuable 69.9 5.39 other
valuable 91.8 1.73 brown
money 37.3 7.18 other
junk 49.9 4.15 white
junk 2.9 1.17 red
money 104.7 4.49 other
money 87.5 5.63 red
dangerous 14 7.65 red
junk 80.2 2.91 white
dangerous 66.9 1.21 red
valuable 95 7.36 white
junk 55.6 3.85 brown
valuable 102.8 1.18 brown
junk 48.2 2.14 red
junk 68.5 2.88 white
dangerous 54.3 17.28 white
money 83.7 4.69 red
junk 82.3 2.06 white
money 115.3 1.47 white
valuable 85 15.3 red
valuable 78.1 3.27 white
dangerous 108.7 6.93 red
valuable 68.2 5.99 brown
money 85.5 3.67 red
valuable 61.3 14.36 other
money 109.3 1.57 brown
money 67.8 2.83 red
junk 42.9 6.17 brown
junk 73.6 0.99 white
junk 14 4.37 white
dangerous 97.7 19.58 other
junk 46.4 13.76 white
money 66.8 8.87 brown
money 108.3 0.53 white
valuable 113.8 9.43 brown
money 109.3 8.09 red
junk 3.5 4.92 brown
valuable 83.4 2.8 white
junk 4.8 6.72 red
junk 55.8 5.01 brown
money 112.1 1.73 brown
junk 26.2 12.83 white
dangerous 57.6 4.21 red
junk 45.9 0.34 other
junk 9.7 2.55 brown
money 59.3 24.17 brown
valuable 107.6 1.29 white
valuable 21.3 14.08 red
valuable 39.5 14.99 brown
junk 16 1.76 red
dangerous 112.7 4.32 other
valuable 68.7 4.46 white
junk 31.2 7.67 brown
valuable 83.3 10.99 white
money 109.6 6.83 brown
junk 47.1 0.77 red
junk 52.7 5.16 white
valuable 41.3 13.33 brown
junk 16.7 1.27 other
valuable 52 5.2 other
money 103.4 8.03 brown
dangerous 114.9 6.67 brown
dangerous 62 7.8 other
valuable 114.6 1.79 other
dangerous 95.1 26.2 other
junk 54.2 1.29 brown
valuable 101.5 1.62 other
junk 38 3.61 brown
valuable 108 7.84 white
dangerous 81.5 0.71 red
junk 16 14.84 brown
dangerous 117.9 3.33 red
junk 5.2 6.01 brown
junk 8.9 0.91 brown
junk 60.1 4.96 other
money 77.6 1.16 brown
dangerous 80.3 22.8 other
valuable 107.8 5.31 red
money 113.5 18.71 other
junk 16.8 4.75 white
dangerous 59.8 3.45 red
junk 15.2 6.36 red
junk 50.4 2.44 white
junk 39.9 16 red
dangerous 54.7 2.1 other
money 63.8 5.3 other
valuable 97.6 10.96 brown
junk 12.9 11.59 white
junk 65 2.59 brown
valuable 100.3 2.04 white
valuable 77.5 5.2 white
valuable 115.8 6.21 brown
valuable 72.8 1.99 brown
money 10.5 16.21 other
junk 70 0.9 brown
money 85.2 3.56 other
money 65.5 19.05 red
junk 26.3 3.12 brown
money 87.1 3.23 other
dangerous 67.7 17.34 white
junk 58.7 1.38 white
money 90.3 3.12 red
junk 15.7 7.28 red
junk 25.5 2.72 red
money 108.5 5.38 brown
junk 60 0.58 other
money 61.6 9.57 red
dangerous 74.9 10.31 white
junk 18.6 7.63 brown
valuable 89 9.3 white
valuable 62.5 10.07 red
junk 42.3 8.83 brown
money 85.8 2.91 white
dangerous 72 4.51 other
junk 115.2 1.08 other
dangerous 26.1 7.87 red
junk 53.3 5.92 other
dangerous 61 4.56 red
junk 31.6 7.65 brown
dangerous 19.5 10.87 other
dangerous 72.3 2.83 white
dangerous 109.5 0.39 red
junk 106.9 5.39 white
junk 27.7 8.4 white
junk 38.9 0.87 white
junk 4.9 3.14 red
junk 5 1.02 brown
junk 9.4 7.1 other
valuable 90.9 1.69 white
money 20.4 26.51 red
junk 30.5 3.27 brown
money 109.3 1.54 brown
junk 13.8 5.11 other
money 96.6 4.93 brown
money 103.7 3.02 white
money 103.4 2.75 other
valuable 106.5 2.14 red
money 53.9 14.34 other
money 91 9.69 brown
valuable 114.5 10.9 white
junk 46.2 12.9 other
junk 14.4 2.43 red
valuable 71.7 8.5 brown
valuable 117.2 4.72 other
junk 46.3 1.06 red
money 71.2 8.32 white
junk 51.5 0.18 brown
junk 40.5 5.31 white
money 59.5 4.32 red
money 109.3 0.59 brown
junk 38.7 1.69 white
money 69.2 3.66 white
junk 116 8.31 red
dangerous 32.2 5.98 red
junk 13.4 4.7 brown
junk 30.7 11.05 white
dangerous 90.1 4.57 other
junk 113.6 6.44 white
junk 114.6 3.47 red
junk 14.6 10.03 red
valuable 109.7 1.22 brown
dangerous 52.4 1.61 other
money 96.2 7.24 white
junk 53.3 3.63 other
junk 50.9 4.89 other
money 75.1 8.35 red
money 88.2 4.04 red
valuable 69.2 6.58 white
money 85 7.56 brown
junk 7.1 3.64 other
dangerous 57.7 5.14 other
junk 9.3 1.79 red
money 96 1.51 white
junk 19.8 5.14 brown
junk 35 1.4 red
valuable 114 5.14 brown
junk 42.1 6.38 brown
junk 46.9 1.62 red
junk 20.5 8.7 white
junk 2.5 4.04 red
junk 15.3 1.44 red
junk 55.5 3.79 brown
junk 33.8 9.85 white
junk 10.9 3.68 brown
junk 49.3 0.43 white
valuable 109.6 2.62 other
junk 15.3 5.15 other
junk 70.7 2.38 brown
junk 72.6 8.82 red
junk 3.2 6.61 red
dangerous 58.6 13.93 red
junk 18.4 0.93 brown
money 109.9 3.6 brown
junk 5 0.76 other
dangerous 116.7 3.97 red
valuable 34.4 16.55 white
junk 12.7 13.16 red
valuable 113.6 2.67 other
valuable 81.4 0.41 white
junk 54.5 4.18 other
junk 42.3 6.55 white
dangerous 104.6 22.54 other
junk 30.7 3.57 red
junk 26.9 11.78 white
money 114.4 2.55 other
money 101 8.92 brown
junk 35.4 5.55 white
junk 33.6 0.15 other
valuable 84.9 14.03 white
junk 14.4 2.28 brown
valuable 65.1 5.77 red
junk 53.4 0.53 brown
money 45.3 12.89 other
dangerous 102.4 20.16 other
junk 94.2 12.73 red
money 114.6 3.14 brown
junk 12.6 13.7 brown
junk 38.1 6.08 white
junk 58.7 1.33 white
junk 69.9 2.15 red
junk 13.8 15.37 brown
junk 34.6 7.75 brown
dangerous 44.4 0.3 red
junk 57.6 1.41 brown
valuable 96.6 1.18 brown
junk 2.9 2.68 brown
valuable 92.2 2.03 brown
junk 48.1 4.37 red
valuable 79.1 1.96 white
junk 104 0.67 other
junk 59.8 4.32 white
junk 62.7 3.66 brown
junk 94.4 5.92 red
junk 29 6.41 brown
money 70.8 11.75 white
junk 60.3 1.5 brown
junk 22.6 10.77 brown
valuable 93.5 4.46 white
junk 44.1 1 other
money 91.2 12.24 white
junk 32.4 12.49 other
money 39.3 6.5 other
dangerous 50.7 5.39 red
valuable 47.6 11.77 red
junk 15.2 0.39 brown
junk 45.5 7.77 brown
money 85.6 9.39 brown
junk 49.1 4.74 brown
dangerous 8.9 10.12 other
junk 43.4 5.25 brown
junk 39.9 4.6 brown
junk 51.9 6.9 brown
dangerous 64.4 2.43 other
junk 63.3 2.4 brown
junk 7.9 6.64 red
money 116.2 2.99 brown
junk 46.9 0.04 red
money 71.1 14.05 brown
valuable 43.7 4.72 other
junk 2.9 2.61 red
junk 46.8 3.13 white
junk 85.8 3.27 red
valuable 81.7 1.37 white
junk 17.6 1.42 white
junk 12 3.6 white
junk 64.3 1.32 white
junk 62.4 13.26 other
junk 14.6 0.63 brown
junk 43.4 4.17 brown
dangerous 102.1 14.79 white
money 78.1 3.93 other
valuable 114.6 6.82 brown
money 63.2 11.68 brown
junk 9.5 5.09 white
junk 4.1 4.18 brown
dangerous 111 2.53 other
dangerous 3.9 7.37 other
money 71 8.35 brown
dangerous 41.7 0.86 other
money 93.3 7.23 other
valuable 112.9 1.21 brown
money 108.5 7.76 other
junk 54.2 6.89 brown
junk 66.1 1.04 white
junk 20.9 5.52 brown
dangerous 29.6 0.48 other
valuable 90 4.9 brown
junk 24.8 5.09 white
dangerous 26.4 4 red
money 116.1 3.85 brown
valuable 97.4 2.17 brown
junk 53.2 1.82 other
dangerous 32 3.88 other
junk 68.8 2.59 red
junk 34.4 7.58 brown
valuable 92.5 1.03 white
money 91.5 6.54 other
dangerous 51 4.11 red
valuable 7.5 18.07 brown
junk 53.6 1.39 white
money 94.8 11.88 white
junk 6 2.83 white
money 114.6 1.26 white
junk 34.2 9.38 brown
money 100.9 1.97 white
junk 70.5 10.8 brown
valuable 101.7 12.87 white
valuable 96.9 6.3 other
junk 111.4 8.04 white
money 80.4 6.09 brown
valuable 109.7 4.06 white
money 80 3.79 brown
valuable 99.7 11.65 white
dangerous 51.1 1.69 red
junk 94 2.41 red
junk 38.1 3.02 white
money 58.2 8.23 brown
junk 70.9 5.67 red
dangerous 107.1 7.71 other
dangerous 32.2 4.79 other
junk 85.2 2.98 other
valuable 81.2 4.11 brown
junk 56.4 6.5 brown
junk 104.2 2.03 other
money 107.1 2.44 white
valuable 87.3 6.88 red
junk 40.9 5.96 white
junk 102.2 17.26 other
valuable 80.8 12.89 brown
junk 58 2.03 brown
junk 29.5 5.43 red
dangerous 3 4.88 other
valuable 62.2 3.34 brown
junk 44 4.66 red
junk 17.5 0.79 red
junk 38.4 3.25 red
money 78.7 16.08 brown
junk 48.6 14.29 brown
junk 18.5 2.87 white
money 56.2 16.87 other
junk 88.9 19.98 red
junk 106.9 8.25 other
junk 57.8 1.18 other
valuable 78.5 0.36 white
money 81.6 2.94 white
junk 17.2 3.76 red
money 99.2 5.12 brown
junk 96.6 3.9 red
money 47.7 12.04 brown
dangerous 114.5 14.63 red
money 42.9 19.75 red
junk 43.3 0.67 red
money 99.8 16.74 other
money 108.1 8.15 white
money 98.3 2.36 white
valuable 113.7 15.9 white
junk 60.4 16.85 other
money 83.9 1.95 red
junk 18 4.08 red
money 73 10.98 brown
junk 36.1 1.82 other
junk 7.7 5.47 red
dangerous 33.5 3.61 red
junk 107.8 3.42 white
junk 32.2 10.2 brown
junk 83.4 4.88 other
valuable 96.2 17.08 red
valuable 105.7 2.13 other
money 74 6.69 white
money 111.7 0.59 other
valuable 87.1 9.02 brown
junk 71.6 3.24 white
junk 68.9 2.89 white
junk 72.3 0.68 brown
valuable 79.8 4.66 red
dangerous 70.9 2.35 red
junk 7.6 7.3 red
junk 20.6 4.19 white
junk 59.3 1.6 white
money 61.3 14.44 other
junk 62.2 2.67 brown
dangerous 109.2 3.15 white
dangerous 49.8 7.95 red
dangerous 87.4 6.01 white
valuable 54.7 7.66 white
dangerous 113.6 5.29 other
money 107.3 19.94 brown
junk 21.2 12.49 white
valuable 51.8 8.13 red
money 68.2 18.93 red
valuable 52.9 7.16 brown
junk 57.1 7.2 brown
money 39.9 18.94 brown
junk 16.8 6.59 red
junk 58.4 6.38 red
junk 44.9 19.73 red
junk 50.7 5.24 white
valuable 94.4 3.75 other
valuable 87.4 3.02 other
junk 91.5 14.43 other
junk 3.1 16.02 brown
dangerous 96.5 7.19 white
junk 38 3.66 brown
junk 53.5 5.57 brown
junk 16.2 3.64 brown
valuable 39.1 11.82 white
junk 6.1 4.66 brown
junk 63.7 1.95 other
valuable 46.4 9.51 brown
junk 9.6 3.46 red
dangerous 58.1 4.84 red
valuable 106.5 4.61 brown
dangerous 39.5 3.06 other
junk 12.1 0.27 red
money 110.7 10.83 white
junk 34.8 5.47 brown
junk 71.2 1.75 red
junk 32.1 7.05 brown
junk 19.8 2.1 brown
money 58.4 11.14 brown
junk 58.4 2.57 white
valuable 106.7 3.93 brown
dangerous 111.5 0.73 other
money 95.3 13.35 white
valuable 78.8 6.21 other
junk 108.7 3.91 white
junk 23.9 18.69 white
junk 17 11.68 red
money 86.3 5.57 red
money 110 4.66 brown
junk 8.9 5.79 red
dangerous 81 1.22 other
junk 20.1 1.82 brown
junk 27.9 1.88 other
junk 31.9 1.87 red
junk 26.2 5.68 white
junk 78.2 2.25 white
money 61.8 5.76 brown
valuable 85.8 12.32 white
money 97.7 15.5 red
junk 73.9 12.82 white
junk 86 8.66 red
valuable 78.3 13.07 white
dangerous 78.2 0.71 red
dangerous 104 5.41 white
junk 84.8 5.22 white
valuable 10.7 14.75 brown
valuable 97.4 3.02 red
junk 35.8 2.44 red
dangerous 103.2 10.13 other
junk 52.8 1.02 red
junk 84.9 0.46 other
junk 39 6.51 other
money 67.5 3.14 other
junk 68.1 2.57 other
money 84.3 1.64 other
dangerous 34 28.83 brown
junk 21 1.25 brown
valuable 84.1 3.62 white
junk 19.5 8.81 white
valuable 105.5 2.99 other
junk 10.3 1.39 white
dangerous 96.6 7.28 white
junk 57.9 1.18 other
valuable 75.5 4.11 brown
junk 51.4 1.89 white
junk 21.1 0.77 white
junk 19.7 6.56 white
junk 59.7 7.84 red
junk 40 7.77 brown
dangerous 18.5 3.03 other
money 103.5 2.66 red
junk 36.6 0.74 red
dangerous 60.7 9.01 other
junk 45.2 0.38 white
dangerous 56.1 9.64 white
junk 8.4 8.72 brown
junk 38.6 7.16 brown
junk 51.4 1.73 brown
junk 56.5 0.48 brown
junk 65.7 3.35 white
junk 52.4 0.68 white
valuable 84.7 5.78 white
money 41.7 11.95 red
valuable 99.2 5.21 other
junk 44 3.23 brown
junk 61.8 4.57 other
junk 17.3 2.82 white
valuable 91.1 1.8 white
valuable 100.5 1.78 white
junk 21.6 0.97 white
valuable 74.3 12.21 brown
junk 87.6 13.06 red
junk 55 2.08 white
junk 10.1 5.45 white
dangerous 71.2 3.88 other
valuable 87.1 4.63 white
junk 74.4 1.65 brown
money 58.6 6.95 brown
dangerous 70.8 0.51 red
valuable 98.6 18.69 brown
dangerous 49.4 3.74 red
junk 102.4 7.29 other
junk 39.8 6.84 white
dangerous 99.9 1.32 other
money 27.5 13.46 brown
dangerous 97.7 0.43 other
valuable 114.4 17.95 red
valuable 116.8 4.43 other
junk 36.3 0.96 red
junk 11.6 3.03 white
money 69.8 11.08 brown
money 67.3 14.53 brown
junk 33.8 4.43 brown
dangerous 13.3 1.35 other
dangerous 55.7 6.19 other
junk 13.3 3.25 red
money 99 3.48 brown
valuable 74.3 9.45 other
junk 45.8 4.29 white
junk 52.6 2.18 brown
junk 5 5.82 red
dangerous 71.8 2.7 red
junk 2.2 14.15 brown
money 44.3 6.88 other
junk 24.6 9.14 red
dangerous 113.4 1.32 other
valuable 94.4 4.08 white
junk 34.5 0.78 brown
money 66.8 7.03 white
money 47.5 10.57 other
junk 4.1 20.19 other
junk 2.1 0.27 other
valuable 89.3 2.29 red
valuable 86.3 2.81 white
money 74.1 13.05 brown
valuable 99.9 1.19 brown
money 60.5 4.97 red
junk 57.2 3.3 brown
junk 32.2 1.94 white
valuable 77.1 10.69 red
junk 19.9 4.99 red
money 106.6 3.85 other
junk 38.7 5.61 white
junk 89.5 12.63 other
valuable 90 11.34 red
money 79.3 6.04 white
junk 18.4 4.8 brown
junk 13.7 0.19 red
junk 66.8 3.35 white
money 79.2 8.26 brown
junk 57.9 5.62 brown
dangerous 58 1.26 other
junk 28.4 1.13 red
junk 15 9.34 brown
junk 9.2 3.91 brown
junk 2.4 0.77 red
junk 12.7 6.64 white
valuable 84.8 6.34 brown
valuable 59.3 9.79 white
dangerous 92.8 4.39 white
junk 17.8 5.33 brown
dangerous 77.5 1.25 other
valuable 55 18.62 brown
money 93.1 3.35 white
valuable 91.5 8.89 other
valuable 112.5 2.39 brown
junk 45.5 7.1 brown
junk 22.4 7.39 red
money 68.8 9.92 red
junk 41.5 3.76 white
junk 10.4 0.62 red
dangerous 14.5 12.88 red
junk 36.3 2.23 white
junk 35.5 7.74 red
valuable 78.7 1.62 red
valuable 67.5 4.16 brown
junk 38.5 8.94 brown
valuable 111.2 8.3 other
money 94.2 6.84 brown
junk 81.8 1.99 brown
junk 44.8 2.86 red
dangerous 99.7 5.43 white
money 60.5 16.02 red
valuable 105.4 8.93 red
money 112.5 0.65 other
junk 24.7 9.78 white
junk 26.8 2.69 red
valuable 94.4 0.42 other
junk 87.6 11.72 white
junk 24.7 0.95 brown
valuable 83.4 5.37 red
dangerous 58.7 1.26 other
junk 48.9 2.35 brown
money 111.7 9.04 other
junk 101.4 2.43 other
junk 32.4 0.64 white
junk 20.9 4.43 brown
junk 17.3 5.75 red
dangerous 11.5 4.31 red
junk 50.4 0.87 brown
dangerous 13.4 9.08 other
junk 37 3.66 brown
valuable 73.7 12.15 brown
junk 18.1 0.7 brown
junk 31 1.95 white
dangerous 46.3 0.58 other
dangerous 95.7 4.1 other
dangerous 72.8 10.58 red
money 100.5 0.63 brown
valuable 86.9 1.1 white
dangerous 56.7 9.79 other
junk 15.1 0.15 red
junk 42.7 5.69 red
junk 39.7 10.47 other
junk 4.3 6.78 brown
junk 10 4.9 red
junk 12.8 10.86 other
junk 37.2 5.62 brown
dangerous 59.1 1.47 red
junk 17.1 6.69 other
junk 31.6 11.57 brown
junk 19.8 5.48 red
money 85.2 7.73 brown
junk 67 9.87 other
valuable 95.6 3.64 white
money 116.2 11.52 other
junk 22.4 0.41 brown
junk 56.9 3.96 brown
junk 47 1.67 brown
valuable 108.2 9.71 other
junk 18.9 3.95 brown
dangerous 44.3 2.26 red
junk 34.1 6.89 white
junk 14 2.12 other
junk 16.5 15.08 brown
valuable 94.1 9.15 other
junk 67.4 5.09 white
junk 29 2.46 white
dangerous 52.1 4.5 other
junk 13.5 1.3 red
valuable 104 3.28 white
money 113.3 2.78 brown
junk 69.2 3.6 red
junk 117.5 2.82 red
junk 9.5 9.75 red
dangerous 88.3 6.97 red
money 57.5 11.33 brown
money 115.8 11.89 brown
valuable 70.4 6.98 brown
junk 10.8 7.4 white
money 108.9 0.99 white
valuable 95.5 5.17 brown
valuable 105.3 10.59 white
valuable 110 2 other
valuable 51.8 18.79 red
money 50.1 7.57 red
valuable 72.8 7.22 red
dangerous 91.1 9.88 white
junk 57.7 6.57 white
junk 101.1 6.95 white
junk 4.5 16.67 white
dangerous 83.2 16.28 brown
junk 113 2.91 red
valuable 71.1 10.89 white
junk 11.7 1.12 other
money 44.3 14.18 brown
money 115.7 3.69 brown
valuable 82.6 3.81 red
valuable 82 2.87 white
valuable 85.1 1.8 brown
junk 52.2 2.71 brown
junk 55 8.03 red
junk 27.9 9.08 white
valuable 87.2 1.27 brown
dangerous 76.5 6 red
valuable 40.7 12.93 brown
money 25.5 19.69 brown
junk 80.8 0.38 white
junk 20.1 7.13 white
junk 34.8 3 brown
junk 20.2 0.66 brown
junk 29.2 4.9 white
valuable 27.6 12.43 brown
junk 24.6 3.13 white
dangerous 95.8 3.73 white
money 78.6 5.8 white
money 50.1 7.16 other
valuable 97.3 3.51 red
dangerous 69.7 0.68 other
dangerous 6.6 1.16 other
valuable 74.4 2.2 white
money 52.7 6.34 red
junk 41 0.68 brown
dangerous 79.7 4.78 other
money 48.4 6.53 other
junk 22.6 1.25 white
junk 2.2 4.75 white
junk 56.5 0.5 other
junk 81.9 1.39 white
junk 31.6 5.63 white
junk 34.9 3.76 white
valuable 55 11.24 red
valuable 117 1.47 brown
dangerous 37.2 7.32 other
junk 58.4 0.52 other
junk 28.4 2.89 white
junk 34.2 12.93 white
dangerous 111.9 5.68 other
money 74.2 0.85 other
junk 42.9 4.22 red
junk 14.4 9 white
junk 24.8 6.2 red
junk 67.6 1.13 brown
dangerous 113.2 9.17 white
junk 73 1.27 brown
valuable 49.4 9.85 brown
junk 25.5 4.91 white
valuable 99.1 5.92 brown
junk 11.7 9.36 white
junk 42.8 5.69 red
junk 65.4 8.42 white
junk 41.9 1.02 other
money 108.9 0.86 red
valuable 43 12.08 brown
dangerous 25.5 0.62 other
junk 38.3 4.14 red
junk 89.9 11.72 white
junk 18.6 7.76 red
valuable 20.4 18.51 other
money 65.6 8.8 other
valuable 113.5 1.86 red
junk 14.7 1.17 red
junk 35.3 3.36 red
valuable 71.3 4.98 brown
dangerous 109.3 1.77 red
dangerous 114.4 6.58 white
junk 76.5 0.47 other
valuable 111.1 5.84 other
money 105.3 3.07 brown
dangerous 55.3 2.93 other
money 71.8 5.98 brown
dangerous 78.1 1.96 other
money 101.6 6.67 red
junk 23 6.81 brown
junk 24.8 1.53 other
junk 57.3 1.6 other
junk 20.8 5.96 other
valuable 103.5 19.44 other
money 66.4 2.44 other
money 77.9 4.99 other
valuable 112.2 11.28 red
valuable 107.2 0.7 red
valuable 93.7 1.86 white
junk 111.3 14.75 white
money 95 4.38 white
junk 54.2 1 brown
junk 16.3 4.32 white
junk 19.8 8.38 white
junk 115.9 0.72 red
money 66.7 3.61 brown
money 95.3 2.15 brown
junk 48.2 2.41 red
money 74.8 4.2 other
junk 84 3.13 brown
money 51.8 8.47 other
junk 13.9 1.56 red
valuable 56.4 11.05 red
valuable 81.1 8.32 brown
junk 67 0.87 other
money 98.3 1.78 white
junk 101.1 10.6 brown
valuable 112.3 2.01 red
junk 18 2.5 brown
dangerous 54.3 9.55 other
money 117.6 5.61 white
junk 3.2 4.51 brown
junk 24.2 9.06 other
junk 25 1.8 brown
dangerous 63.2 0.92 other
junk 50.8 5.62 white
junk 5 2.87 other
junk 84 9.85 other
junk 19.1 1.45 brown
junk 60.3 3.84 white
junk 12.7 6.84 white
junk 2.1 13.37 other
junk 21.4 2.92 brown
junk 26.5 3.82 other
junk 38 7.3 brown
junk 13.9 0.54 white
junk 66.5 0.79 other
dangerous 46.8 4.36 red
dangerous 68 2.43 red
valuable 87 2.13 brown
dangerous 32.6 3.3 other
junk 110.5 1.85 other
junk 59.4 0.71 white
junk 21.2 9.45 brown
junk 2.4 1.5 brown
junk 23.9 0.53 red
valuable 88.5 1.62 brown
money 83.8 3.57 red
dangerous 87.7 4.63 red
junk 8.1 2.76 white
junk 40.7 2.77 brown
junk 27.5 2.49 other
dangerous 53.7 5.66 red
valuable 82.9 7.41 brown
junk 81.1 5.52 red
junk 58.9 8.51 red
dangerous 104.4 2.11 other
junk 100.7 23.84 brown
junk 82 11.47 other
dangerous 91.7 6.22 red
junk 21 8.27 red
junk 24.7 0.55 brown
junk 40.4 1.58 other
dangerous 34.3 20.66 red
money 114.4 4.74 red
money 52.3 10.29 white
dangerous 14.2 5.33 other
junk 30.5 4.91 red
money 99.4 7.89 red
valuable 34.2 10.03 other
dangerous 7.8 1.61 other
money 101.6 14.92 red
junk 38.7 0.65 brown
junk 20.5 3.78 red
valuable 55.4 3.69 other
dangerous 29.3 1.06 other
money 95 4.34 brown
junk 10.9 7.94 red
junk 34.2 6.55 other
money 78.7 5.07 red
