nose eyebrow mouth head hair
49.2 22.3 52.3 84.3 39.8
39.7 16.3 45.9 95.2 11.4
47.9 29.6 37.6 191.1 44.3
56 16.9 59.1 91.7 39.4
12.1 19.6 59.7 201.3 16.8
31.8 27.9 45.6 119.2 63.2
23.9 29.3 56.8 107.3 2.4
10.4 26.8 56.3 92.4 9.8
19.8 26.1 50.7 99.5 83.2
13.6 33.3 24.4 221.5 62.3
46.7 20.8 55.2 99.7 49.9
54.1 24.5 18.9 92.9 13.3
57.4 19 56.6 89.7 15.6
15.3 28.7 59.3 84 51.1
43.1 24.7 53.7 94.5 21.9
39.7 17.3 25.2 84.9 12.7
17 24 52.6 120.4 66.1
37 16.6 57.7 92.5 38.7
16.6 34.4 22.4 238.4 49.5
16.8 18.9 54.9 210.6 98.3
42 20.1 54.2 99.5 13.5
47.2 30 52.7 121.6 68.2
11.2 31 21.9 125.4 43.1
15.7 29.3 52.9 99 85.3
43.5 24.8 20.3 98.9 21.2
16.8 37 27.6 221.7 75.4
10.6 24.4 58.3 171.7 18.8
37.8 22 55.7 84.3 27.6
12 29.1 56.4 99.2 31.1
43.6 26.8 57.2 113.1 0.7
29.2 30 13.6 200 14.4
10.5 28.2 28.1 196.4 50.9
10.5 34.9 24.1 136.5 72.2
36.3 26.6 22.7 113.6 14.9
55.6 22.3 58 85.2 46.7
37 15.4 54 88.6 14.6
14 22.8 59.3 189.8 65.1
14.9 20.5 50.3 196.8 15.2
41.2 26 46.1 113.4 23.4
19.5 21.8 22 176.2 56.8
10.6 25.4 53.1 96.1 52.2
11.4 26.2 27.4 232.8 46.4
16.3 18.6 58.9 200 53.7
59.5 22.3 33.2 82.1 90.5
12.3 24.3 29.9 201.5 45.3
14.4 27.7 54.3 81.1 67.3
21.1 28.5 29.3 180.9 55.2
57.5 22.4 59.8 84.8 11.2
55.4 19.7 41.3 93.6 40.4
18.8 23.5 50.9 169.4 12.2
10.4 29.6 54.8 87.9 78.1
10.9 27.1 56.2 93.1 93.4
20.3 27.1 43.6 102.6 98.2
18.3 24.4 54.7 232.9 34.5
58 22.9 53.8 93 43.3
15.8 21.4 57.8 230.5 6.2
55.9 15.4 51.6 89 26
56.5 15.1 12.5 88.6 30.5
10.5 19.3 55.8 221.1 43.8
19.2 35.2 26.9 249.1 46.9
14.9 37.5 22.8 167.3 71.8
46.8 28.5 11.4 181.8 20.6
11.7 16.3 56.7 245.6 61.2
48.8 27.4 51.7 184.5 11.7
59 24.1 30.4 94.7 51.1
14.4 21.8 53.2 147.3 78.3
48.5 27.1 57.1 144.1 92.4
13.3 22.7 50.1 130.2 65.8
19.6 28.3 52.7 100 59.8
18.7 27.3 50.2 91.7 61.3
15.6 29.3 53.7 96.4 1.2
41.2 15 56.7 87.9 36.2
46.8 25.6 55.4 131.9 62.2
49.5 25 28.2 97.6 21.3
38.8 19.5 25.8 94.3 51.8
18.1 23.8 50.2 180.8 13.5
32.1 21.9 12.5 95.1 57.3
43.3 18.8 15.7 85.2 20
10.4 28.1 24.5 241.6 71.9
57 16.6 49.3 87 98.9
18.6 32.2 24.3 184.3 42.9
11.3 17.9 50.7 158.7 18
11.2 15.4 56.6 244.9 79
10.1 29.3 51 85.9 31.1
16.3 23.6 20 174.8 74.7
16.7 19.1 59.2 156.7 37.9
12.1 20.6 54.7 235.7 5.7
14.8 21.4 52.9 242.1 7.4
54.9 23.8 56 88.2 47.9
11.5 19.9 58.7 167.2 37.5
44.7 29.2 46.9 187.9 12.3
34.8 24.5 52.8 87.8 39.8
16.4 32.4 25.9 151.7 65.6
11.7 24 57.3 129 38.3
12.6 29.4 56.6 93.5 31.7
18.9 17 54.9 247.9 20.4
50.5 21.7 58.1 85.5 27.7
34.3 22.8 52.2 87.9 31.1
54.2 19.4 13.8 81.6 51.4
48.2 23.8 15.3 93.6 80.7
38.1 25 51 93.2 18.6
17.5 30 28.6 123 73.3
17.8 39 20.5 145.2 79.7
16.8 27.1 53.1 95.5 93
14.5 29.5 52 93.7 37.9
39.5 21.7 56.9 86.2 14.4
24.4 27 48.8 143.8 49.3
19.7 34.7 22.3 180 45.1
22.2 27.4 12.1 130.1 77.1
11.3 28.2 55.5 89.8 90.6
45.6 17.9 57.1 97.9 29.8
19.6 27.7 51.1 98.8 64.7
47.7 29.3 51.4 157.3 8.6
17.4 23.9 52.6 211.4 53.8
11.3 21.4 56.4 157.7 91.1
46 20.5 50.6 84.3 29.3
16.8 29.8 55 98.8 72.4
13.9 25.7 59.8 99.6 69.7
17.3 26.2 51.7 82 26.6
35.8 27 49.2 179.3 8.2
13.4 25.8 54.6 83.6 84
20.7 29.2 45 183.9 77.6
21.7 29.3 13.1 182.6 4.6
39.3 25.2 14.2 121.7 78.6
15 30 57 92.7 44.2
36.9 27.3 29.5 134.9 9.9
27.2 27.3 33.6 112.6 20.5
28.3 25.9 14 165.7 35.5
25.5 25.2 36.4 186.2 23.7
31 25.9 45.2 163.4 7.5
29.7 28.3 35.4 173.1 47.3
52.9 15 13.1 84.9 85.1
16.6 37.8 28.6 234.9 43.8
46.2 27.1 12.1 170.3 82.9
18.3 26 52.3 85.9 66.7
17.9 28.4 22.4 158.1 64.9
10 37.7 28.3 160.3 62.5
18.9 18 57.2 123.6 1.5
21 29.8 14.5 118.9 90.1
30.3 15.1 58.5 81.4 30
15.4 26.3 52.1 96.4 23.2
41.2 21.3 32.6 94.1 31.3
43.2 21.1 54.4 92.2 12.7
31.7 27.5 21.2 187.3 59.3
18.6 16.6 50.3 242 60.2
13.5 27 52.8 80 33.5
11.1 23.3 29.8 156.3 40.6
19.3 24.7 56.3 194.5 96.4
13.1 33.6 22.9 209.6 40.6
10.8 23.1 55.3 200.2 74.9
17.5 27.2 59 89.8 63.9
11.8 32.6 20.7 205.4 77
18.5 23.3 59.1 172.2 14.4
43 25.8 30.7 194.7 95.4
16.8 26.5 59 90.7 58.1
30.1 22.5 51 86.9 20.3
38.3 28.1 19.1 139.3 2.5
43 18 30.6 88.3 71
51.9 18.2 40 80.9 29.9
10.1 29.1 27 169.9 46.6
50.1 18 16.4 95.2 83.4
35.8 16.4 41.4 90.7 32.9
17.1 27.3 53 99.6 75.6
45 19.8 51.2 92.2 28.1
59.9 15.2 50.3 92 39.8
18.6 39.2 22.2 160.6 68.8
16.7 39.3 20.4 191.3 67.2
